WELL,WELLMODEL,CONIPOS,SWAT,CONKPOS,SGAS,CONJPOS,DRAWDOWN,CONIDX,DATE,DEPTH,PRESSURE,CONBPRES
R_A2,STANDARD,22,0.11639835685491562,1,0.0,30,0,1,2018-01-01,1641.094970703125,300.6733093261719,300.6733093261719
R_A2,STANDARD,22,0.05913596972823143,2,0.0,30,0,2,2018-01-01,1642.8890380859375,300.7936096191406,300.7936096191406
R_A2,STANDARD,22,0.1264522522687912,3,0.0,30,0,3,2018-01-01,1644.68310546875,300.9139099121094,300.9139099121094
R_A2,STANDARD,22,0.10851117223501205,4,0.0,30,0,4,2018-01-01,1646.4771728515625,301.0342102050781,301.0342102050781
R_A2,STANDARD,22,0.11078716069459915,5,0.0,30,0,5,2018-01-01,1648.2713623046875,301.1545104980469,301.1545104980469
R_A2,STANDARD,22,0.31581538915634155,6,0.0,30,0,6,2018-01-01,1650.0654296875,301.27484130859375,301.27484130859375
R_A2,STANDARD,22,0.8967062830924988,7,0.0,30,0,7,2018-01-01,1651.859619140625,301.3951721191406,301.3951721191406
R_A2,STANDARD,22,0.8729602694511414,8,0.0,30,0,8,2018-01-01,1653.6536865234375,301.5154724121094,301.5154724121094
R_A2,STANDARD,22,0.9158713817596436,9,0.0,30,0,9,2018-01-01,1655.44775390625,301.63580322265625,301.63580322265625
R_A2,STANDARD,22,0.9034853577613831,10,0.0,30,0,10,2018-01-01,1657.2418212890625,301.7561340332031,301.7561340332031
R_A2,STANDARD,22,0.07596161216497421,11,0.0,30,0,11,2018-01-01,1659.1368408203125,301.88323974609375,301.88323974609375
R_A2,STANDARD,22,0.08016353845596313,12,0.0,30,0,12,2018-01-01,1661.132568359375,302.01708984375,302.01708984375
R_A2,STANDARD,22,0.45490843057632446,13,0.0,30,0,13,2018-01-01,1663.12841796875,302.1509704589844,302.1509704589844
R_A2,STANDARD,22,0.5153446793556213,14,0.0,30,0,14,2018-01-01,1665.1241455078125,302.28485107421875,302.28485107421875
R_A2,STANDARD,22,0.712632954120636,15,0.0,30,0,15,2018-01-01,1667.1199951171875,302.4187316894531,302.4187316894531
R_A2,STANDARD,22,0.9810691475868225,16,0.0,30,0,16,2018-01-01,1669.11572265625,302.5526123046875,302.5526123046875
R_A2,STANDARD,22,0.945175051689148,17,0.0,30,0,17,2018-01-01,1671.111572265625,302.6864929199219,302.6864929199219
R_A2,STANDARD,22,0.9814856648445129,18,0.0,30,0,18,2018-01-01,1672.9881591796875,302.8123779296875,302.8123779296875
R_A2,STANDARD,22,0.9939976930618286,18,0.0,29,0,19,2018-01-01,1674.229736328125,302.89569091796875,302.89569091796875
R_A2,STANDARD,22,1.0,27,0.0,29,0,20,2018-01-01,1676.1676025390625,303.02569580078125,303.02569580078125
R_A2,STANDARD,22,1.0,28,0.0,29,0,21,2018-01-01,1677.9368896484375,303.47802734375,303.47802734375
R_A2,STANDARD,22,1.0,29,0.0,29,0,22,2018-01-01,1679.7061767578125,303.64569091796875,303.64569091796875
R_A2,STANDARD,22,1.0,30,0.0,29,0,23,2018-01-01,1681.4754638671875,303.8133544921875,303.8133544921875
R_A2,STANDARD,22,1.0,31,0.0,29,0,24,2018-01-01,1683.2447509765625,303.98101806640625,303.98101806640625
R_A3,STANDARD,28,0.6481541991233826,1,0.0,41,0,1,2018-01-01,1609.243408203125,298.53814697265625,298.53814697265625
R_A3,STANDARD,28,0.11823459714651108,2,0.0,41,0,2,2018-01-01,1611.3077392578125,298.676513671875,298.676513671875
R_A3,STANDARD,28,0.17559900879859924,3,0.0,41,0,3,2018-01-01,1613.3720703125,298.8148498535156,298.8148498535156
R_A3,STANDARD,28,0.18915219604969025,4,0.0,41,0,4,2018-01-01,1615.4365234375,298.9532165527344,298.9532165527344
R_A3,STANDARD,28,0.6481541991233826,5,0.0,41,0,5,2018-01-01,1617.5008544921875,299.0915832519531,299.0915832519531
R_A3,STANDARD,28,0.2591858208179474,6,0.0,41,0,6,2018-01-01,1619.565185546875,299.2299499511719,299.2299499511719
R_A3,STANDARD,29,0.23034392297267914,6,0.0,41,0,7,2018-01-01,1609.3663330078125,298.54638671875,298.54638671875
R_A3,STANDARD,29,0.19715377688407898,7,0.0,41,0,8,2018-01-01,1611.4163818359375,298.68377685546875,298.68377685546875
R_A3,STANDARD,29,0.24272115528583527,8,0.0,41,0,9,2018-01-01,1613.46630859375,298.8211669921875,298.8211669921875
R_A3,STANDARD,29,0.7983514070510864,9,0.0,41,0,10,2018-01-01,1615.516357421875,298.95855712890625,298.95855712890625
R_A3,STANDARD,29,0.7988103032112122,10,0.0,41,0,11,2018-01-01,1617.5662841796875,299.095947265625,299.095947265625
R_A3,STANDARD,29,0.048717088997364044,11,0.0,41,0,12,2018-01-01,1619.750732421875,299.24237060546875,299.24237060546875
R_A3,STANDARD,29,0.05399089306592941,12,0.0,41,0,13,2018-01-01,1622.0697021484375,299.3978271484375,299.3978271484375
R_A3,STANDARD,29,0.3697081506252289,13,0.0,41,0,14,2018-01-01,1624.388671875,299.5532531738281,299.5532531738281
R_A3,STANDARD,29,0.38560113310813904,14,0.0,41,0,15,2018-01-01,1626.707763671875,299.7087097167969,299.7087097167969
R_A3,STANDARD,29,0.5033208727836609,15,0.0,41,0,16,2018-01-01,1629.026611328125,299.8641662597656,299.8641662597656
R_A3,STANDARD,29,0.8153588175773621,16,0.0,41,0,17,2018-01-01,1630.9468994140625,299.992919921875,299.992919921875
R_A3,STANDARD,29,1.0,27,0.0,41,0,18,2018-01-01,1633.5262451171875,300.16583251953125,300.16583251953125
R_A3,STANDARD,29,0.05029548332095146,28,0.0,41,0,19,2018-01-01,1637.1630859375,300.40966796875,300.40966796875
R_A3,STANDARD,29,0.08577360957860947,29,0.0,41,0,20,2018-01-01,1640.8001708984375,300.6535339355469,300.6535339355469
R_A3,STANDARD,29,0.6888055205345154,30,0.0,41,0,21,2018-01-01,1644.4371337890625,300.89739990234375,300.89739990234375
R_A3,STANDARD,29,0.09458150714635849,31,0.0,41,0,22,2018-01-01,1648.0740966796875,301.14129638671875,301.14129638671875
R_A4,STANDARD,30,0.04987418279051781,1,0.0,52,0,1,2018-01-01,1631.1873779296875,300.009033203125,300.009033203125
R_A4,STANDARD,31,0.062354348599910736,1,0.0,52,0,2,2018-01-01,1627.4293212890625,299.7571105957031,299.7571105957031
R_A4,STANDARD,31,0.06649763137102127,2,0.0,52,0,3,2018-01-01,1629.4896240234375,299.89520263671875,299.89520263671875
R_A4,STANDARD,31,0.05385250598192215,3,0.0,52,0,4,2018-01-01,1631.5498046875,300.0333251953125,300.0333251953125
R_A4,STANDARD,31,0.057518646121025085,4,0.0,52,0,5,2018-01-01,1633.610107421875,300.17144775390625,300.17144775390625
