CONIDX,DEPTH,CONJPOS,WELLMODEL,SGAS,CONIPOS,DRAWDOWN,CONBPRES,SWAT,CONKPOS,WELL,DATE,PRESSURE
1,1641.174072265625,30,STANDARD,0.0,22,0,300.6786193847656,0.05664370208978653,1,R_A2,2018-01-01,300.6786193847656
2,1642.9696044921875,30,STANDARD,0.0,22,0,300.79901123046875,0.05793977156281471,2,R_A2,2018-01-01,300.79901123046875
3,1644.7652587890625,30,STANDARD,0.0,22,0,300.9194030761719,0.060652416199445724,3,R_A2,2018-01-01,300.9194030761719
4,1646.560791015625,30,STANDARD,0.0,22,0,301.0398254394531,0.06535506248474121,4,R_A2,2018-01-01,301.0398254394531
5,1648.3563232421875,30,STANDARD,0.0,22,0,301.16021728515625,0.06923452019691467,5,R_A2,2018-01-01,301.16021728515625
6,1650.15185546875,30,STANDARD,0.0,22,0,301.2806396484375,0.30838480591773987,6,R_A2,2018-01-01,301.2806396484375
7,1651.9473876953125,30,STANDARD,0.0,22,0,301.40106201171875,0.8970790505409241,7,R_A2,2018-01-01,301.40106201171875
8,1653.7430419921875,30,STANDARD,0.0,22,0,301.521484375,0.8806437253952026,8,R_A2,2018-01-01,301.521484375
9,1655.53857421875,30,STANDARD,0.0,22,0,301.64190673828125,0.9081308245658875,9,R_A2,2018-01-01,301.64190673828125
10,1657.3341064453125,30,STANDARD,0.0,22,0,301.7623291015625,0.9080868363380432,10,R_A2,2018-01-01,301.7623291015625
11,1659.234130859375,30,STANDARD,0.0,22,0,301.8897705078125,0.07635648548603058,11,R_A2,2018-01-01,301.8897705078125
12,1661.23876953125,30,STANDARD,0.0,22,0,302.02423095703125,0.0815696194767952,12,R_A2,2018-01-01,302.02423095703125
13,1663.2432861328125,30,STANDARD,0.0,22,0,302.15869140625,0.4848264157772064,13,R_A2,2018-01-01,302.15869140625
14,1665.2479248046875,30,STANDARD,0.0,22,0,302.29315185546875,0.5019426345825195,14,R_A2,2018-01-01,302.29315185546875
15,1667.25244140625,30,STANDARD,0.0,22,0,302.4276123046875,0.6740567088127136,15,R_A2,2018-01-01,302.4276123046875
16,1669.257080078125,30,STANDARD,0.0,22,0,302.56207275390625,0.9688125252723694,16,R_A2,2018-01-01,302.56207275390625
17,1671.2615966796875,30,STANDARD,0.0,22,0,302.6965637207031,0.9546185731887817,17,R_A2,2018-01-01,302.6965637207031
18,1673.025634765625,29,STANDARD,0.0,22,0,302.8149108886719,0.9722151160240173,17,R_A2,2018-01-01,302.8149108886719
19,1674.8734130859375,29,STANDARD,0.0,22,0,302.9388732910156,0.997263491153717,18,R_A2,2018-01-01,302.9388732910156
20,1676.643310546875,29,STANDARD,0.0,22,0,303.0576171875,1.0,27,R_A2,2018-01-01,303.0576171875
21,1678.3785400390625,29,STANDARD,0.0,22,0,303.5198974609375,1.0,28,R_A2,2018-01-01,303.5198974609375
22,1680.11376953125,29,STANDARD,0.0,22,0,303.684326171875,1.0,29,R_A2,2018-01-01,303.684326171875
23,1681.848876953125,29,STANDARD,0.0,22,0,303.8487548828125,1.0,30,R_A2,2018-01-01,303.8487548828125
24,1683.5841064453125,29,STANDARD,0.0,22,0,304.01318359375,1.0,31,R_A2,2018-01-01,304.01318359375
1,1609.2603759765625,41,STANDARD,0.0,28,0,298.5392761230469,0.6481541991233826,1,R_A3,2018-01-01,298.5392761230469
2,1611.3494873046875,41,STANDARD,0.0,28,0,298.6792907714844,0.19893571734428406,2,R_A3,2018-01-01,298.6792907714844
3,1613.4385986328125,41,STANDARD,0.0,28,0,298.8193054199219,0.1935831755399704,3,R_A3,2018-01-01,298.8193054199219
