ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,4926419,853407,625221,435998,61388541,0,0,0,0,0
Valysar,CentralSouth,60366342,11920136,9057566,6316294,889334242,0,0,0,0,0
Valysar,CentralNorth,33489952,5785347,4037553,2815588,396434768,0,0,0,0,0
Valysar,NorthHorst,5485321,699381,422328,259415,50819462,23159536,2667932,1845064,429084636,65650
Valysar,CentralRamp,13746446,1856007,1148351,800803,112753020,0,0,0,0,0
Valysar,CentralHorst,83973871,13549039,9866141,6880154,968725742,0,0,0,0,0
Valysar,EastLowland,291997,15058,1704,1188,167276,0,0,0,0,0
Therys,WestLowland,2204974,380593,188769,131638,18534597,0,0,0,0,0
Therys,CentralSouth,8215681,1851874,1170686,816378,114945994,0,0,0,0,0
Therys,CentralNorth,17559935,3508040,2075330,1447232,203770232,0,0,0,0,0
Therys,NorthHorst,9872056,1282773,527051,323741,63420883,14275448,2517545,1672236,388892100,59500
Therys,CentralRamp,6770890,1668034,1262362,880308,123947358,0,0,0,0,0
Therys,CentralHorst,27405046,7191640,5586455,3895715,548516641,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,254401,40510,20674,14417,2029870,0,0,0,0,0
Volon,CentralSouth,26513975,4822747,3512558,2449483,344887152,0,0,0,0,0
Volon,CentralNorth,4040798,603183,366157,255340,35951867,0,0,0,0,0
Volon,NorthHorst,6714072,1313795,1056075,648695,127079250,1198646,204605,167751,39011809,5969
Volon,CentralRamp,11693521,2108514,1566554,1092436,153815055,0,0,0,0,0
Volon,CentralHorst,77869416,14265629,11105912,7744709,1090455040,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
