CONKPOS,DATE,CONBPRES,CONIDX,DRAWDOWN,CONJPOS,PRESSURE,SWAT,WELL,CONIPOS,SGAS,WELLMODEL,DEPTH
1,2018-01-01,300.6733093261719,1,0,30,300.6733093261719,0.05673010274767876,R_A2,22,0.0,STANDARD,1641.094970703125
2,2018-01-01,300.7936096191406,2,0,30,300.7936096191406,0.05777252838015556,R_A2,22,0.0,STANDARD,1642.8890380859375
3,2018-01-01,300.9139099121094,3,0,30,300.9139099121094,0.060030754655599594,R_A2,22,0.0,STANDARD,1644.68310546875
4,2018-01-01,301.0342102050781,4,0,30,301.0342102050781,0.06766234338283539,R_A2,22,0.0,STANDARD,1646.4771728515625
5,2018-01-01,301.1545104980469,5,0,30,301.1545104980469,0.06880508363246918,R_A2,22,0.0,STANDARD,1648.2713623046875
6,2018-01-01,301.27484130859375,6,0,30,301.27484130859375,0.31025803089141846,R_A2,22,0.0,STANDARD,1650.0654296875
7,2018-01-01,301.3951721191406,7,0,30,301.3951721191406,0.891412079334259,R_A2,22,0.0,STANDARD,1651.859619140625
8,2018-01-01,301.5154724121094,8,0,30,301.5154724121094,0.8774909377098083,R_A2,22,0.0,STANDARD,1653.6536865234375
9,2018-01-01,301.63580322265625,9,0,30,301.63580322265625,0.9038383364677429,R_A2,22,0.0,STANDARD,1655.44775390625
10,2018-01-01,301.7561340332031,10,0,30,301.7561340332031,0.9149646162986755,R_A2,22,0.0,STANDARD,1657.2418212890625
11,2018-01-01,301.88323974609375,11,0,30,301.88323974609375,0.07614300400018692,R_A2,22,0.0,STANDARD,1659.1368408203125
12,2018-01-01,302.01708984375,12,0,30,302.01708984375,0.07716154307126999,R_A2,22,0.0,STANDARD,1661.132568359375
13,2018-01-01,302.1509704589844,13,0,30,302.1509704589844,0.4616602957248688,R_A2,22,0.0,STANDARD,1663.12841796875
14,2018-01-01,302.28485107421875,14,0,30,302.28485107421875,0.5056487321853638,R_A2,22,0.0,STANDARD,1665.1241455078125
15,2018-01-01,302.4187316894531,15,0,30,302.4187316894531,0.6890329718589783,R_A2,22,0.0,STANDARD,1667.1199951171875
16,2018-01-01,302.5526123046875,16,0,30,302.5526123046875,0.9704177379608154,R_A2,22,0.0,STANDARD,1669.11572265625
17,2018-01-01,302.6864929199219,17,0,30,302.6864929199219,0.949622392654419,R_A2,22,0.0,STANDARD,1671.111572265625
18,2018-01-01,302.8123779296875,18,0,30,302.8123779296875,0.9828952550888062,R_A2,22,0.0,STANDARD,1672.9881591796875
18,2018-01-01,302.89569091796875,19,0,29,302.89569091796875,0.9966256022453308,R_A2,22,0.0,STANDARD,1674.229736328125
27,2018-01-01,303.02569580078125,20,0,29,303.02569580078125,1.0,R_A2,22,0.0,STANDARD,1676.1676025390625
28,2018-01-01,303.47802734375,21,0,29,303.47802734375,1.0,R_A2,22,0.0,STANDARD,1677.9368896484375
29,2018-01-01,303.64569091796875,22,0,29,303.64569091796875,1.0,R_A2,22,0.0,STANDARD,1679.7061767578125
30,2018-01-01,303.8133544921875,23,0,29,303.8133544921875,1.0,R_A2,22,0.0,STANDARD,1681.4754638671875
31,2018-01-01,303.98101806640625,24,0,29,303.98101806640625,1.0,R_A2,22,0.0,STANDARD,1683.2447509765625
1,2018-01-01,298.53814697265625,1,0,41,298.53814697265625,0.6481541991233826,R_A3,28,0.0,STANDARD,1609.243408203125
2,2018-01-01,298.676513671875,2,0,41,298.676513671875,0.19717952609062195,R_A3,28,0.0,STANDARD,1611.3077392578125
3,2018-01-01,298.8148498535156,3,0,41,298.8148498535156,0.15042813122272491,R_A3,28,0.0,STANDARD,1613.3720703125
4,2018-01-01,298.9532165527344,4,0,41,298.9532165527344,0.6481541991233826,R_A3,28,0.0,STANDARD,1615.4365234375
5,2018-01-01,299.0915832519531,5,0,41,299.0915832519531,0.8328844904899597,R_A3,28,0.0,STANDARD,1617.5008544921875
6,2018-01-01,299.2299499511719,6,0,41,299.2299499511719,0.6481541991233826,R_A3,28,0.0,STANDARD,1619.565185546875
6,2018-01-01,298.54638671875,7,0,41,298.54638671875,0.6481541991233826,R_A3,29,0.0,STANDARD,1609.3663330078125
7,2018-01-01,298.68377685546875,8,0,41,298.68377685546875,0.19782783091068268,R_A3,29,0.0,STANDARD,1611.4163818359375
8,2018-01-01,298.8211669921875,9,0,41,298.8211669921875,0.1995648592710495,R_A3,29,0.0,STANDARD,1613.46630859375
9,2018-01-01,298.95855712890625,10,0,41,298.95855712890625,0.7997170090675354,R_A3,29,0.0,STANDARD,1615.516357421875
10,2018-01-01,299.095947265625,11,0,41,299.095947265625,0.8015515208244324,R_A3,29,0.0,STANDARD,1617.5662841796875
11,2018-01-01,299.24237060546875,12,0,41,299.24237060546875,0.04906727373600006,R_A3,29,0.0,STANDARD,1619.750732421875
12,2018-01-01,299.3978271484375,13,0,41,299.3978271484375,0.05435820296406746,R_A3,29,0.0,STANDARD,1622.0697021484375
13,2018-01-01,299.5532531738281,14,0,41,299.5532531738281,0.36790597438812256,R_A3,29,0.0,STANDARD,1624.388671875
15,2018-01-01,299.8641662597656,15,0,41,299.8641662597656,0.5019171237945557,R_A3,29,0.0,STANDARD,1629.026611328125
16,2018-01-01,299.992919921875,16,0,41,299.992919921875,0.8088846802711487,R_A3,29,0.0,STANDARD,1630.9468994140625
27,2018-01-01,300.16583251953125,17,0,41,300.16583251953125,0.6481541991233826,R_A3,29,0.0,STANDARD,1633.5262451171875
28,2018-01-01,300.40966796875,18,0,41,300.40966796875,0.04671987146139145,R_A3,29,0.0,STANDARD,1637.1630859375
29,2018-01-01,300.6535339355469,19,0,41,300.6535339355469,0.052011314779520035,R_A3,29,0.0,STANDARD,1640.8001708984375
30,2018-01-01,300.89739990234375,20,0,41,300.89739990234375,0.6723677515983582,R_A3,29,0.0,STANDARD,1644.4371337890625
31,2018-01-01,301.14129638671875,21,0,41,301.14129638671875,0.06565839052200317,R_A3,29,0.0,STANDARD,1648.0740966796875
1,2018-01-01,300.009033203125,1,0,52,300.009033203125,0.05159545689821243,R_A4,30,0.0,STANDARD,1631.1873779296875
1,2018-01-01,299.7571105957031,2,0,52,299.7571105957031,0.049295369535684586,R_A4,31,0.0,STANDARD,1627.4293212890625
2,2018-01-01,299.89520263671875,3,0,52,299.89520263671875,0.05215280130505562,R_A4,31,0.0,STANDARD,1629.4896240234375
3,2018-01-01,300.0333251953125,4,0,52,300.0333251953125,0.054117489606142044,R_A4,31,0.0,STANDARD,1631.5498046875
4,2018-01-01,300.17144775390625,5,0,52,300.17144775390625,0.05574403703212738,R_A4,31,0.0,STANDARD,1633.610107421875
4,2018-01-01,300.0901184082031,6,0,52,300.0901184082031,0.05757410079240799,R_A4,32,0.0,STANDARD,1632.3968505859375
4,2018-01-01,300.3236999511719,7,0,51,300.3236999511719,0.05810001865029335,R_A4,32,0.0,STANDARD,1635.880615234375
4,2018-01-01,300.4202575683594,8,0,51,300.4202575683594,0.06064717099070549,R_A4,33,0.0,STANDARD,1637.321044921875
3,2018-01-01,300.29644775390625,9,0,51,300.29644775390625,0.058206330984830856,R_A4,33,0.0,STANDARD,1635.474609375
4,2018-01-01,300.74395751953125,10,0,50,300.74395751953125,0.2798222005367279,R_A4,33,0.0,STANDARD,1642.1485595703125
4,2018-01-01,300.67578125,11,0,50,300.67578125,0.6481541991233826,R_A4,34,0.0,STANDARD,1641.132080078125
3,2018-01-01,300.5467224121094,12,0,50,300.5467224121094,0.09663576632738113,R_A4,34,0.0,STANDARD,1639.20703125
3,2018-01-01,300.66064453125,13,0,50,300.66064453125,0.16213864088058472,R_A4,35,0.0,STANDARD,1640.9061279296875
2,2018-01-01,300.53570556640625,14,0,50,300.53570556640625,0.18770018219947815,R_A4,35,0.0,STANDARD,1639.0426025390625
2,2018-01-01,300.72943115234375,15,0,49,300.72943115234375,0.2386992871761322,R_A4,35,0.0,STANDARD,1641.93212890625
30,2018-01-01,300.7579650878906,16,0,49,300.7579650878906,0.09703515470027924,R_A4,36,0.0,STANDARD,1642.357421875
30,2018-01-01,300.5735168457031,17,0,48,300.5735168457031,0.05722138658165932,R_A4,36,0.0,STANDARD,1639.6068115234375
30,2018-01-01,301.0526123046875,18,0,48,301.0526123046875,0.06256399303674698,R_A4,37,0.0,STANDARD,1646.7513427734375
30,2018-01-01,301.5025939941406,19,0,48,301.5025939941406,0.6481541991233826,R_A4,38,0.0,STANDARD,1653.461669921875
30,2018-01-01,301.7947998046875,20,0,47,301.7947998046875,0.17424188554286957,R_A4,38,0.0,STANDARD,1657.8184814453125
1,2018-01-01,303.8440856933594,1,0,20,303.8440856933594,1.0,R_A5,31,0.0,STANDARD,1685.026611328125
2,2018-01-01,304.0601806640625,2,0,20,304.0601806640625,1.0,R_A5,31,0.0,STANDARD,1687.3070068359375
3,2018-01-01,304.27630615234375,3,0,20,304.27630615234375,1.0,R_A5,31,0.0,STANDARD,1689.5875244140625
4,2018-01-01,304.4924011230469,4,0,20,304.4924011230469,1.0,R_A5,31,0.0,STANDARD,1691.8680419921875
5,2018-01-01,304.7085266113281,5,0,20,304.7085266113281,1.0,R_A5,31,0.0,STANDARD,1694.1485595703125
6,2018-01-01,304.9246520996094,6,0,20,304.9246520996094,1.0,R_A5,31,0.0,STANDARD,1696.4290771484375
7,2018-01-01,305.446533203125,7,0,20,305.446533203125,1.0,R_A5,31,0.0,STANDARD,1698.70947265625
11,2018-01-01,305.988037109375,8,0,20,305.988037109375,1.0,R_A5,31,0.0,STANDARD,1707.6488037109375
12,2018-01-01,306.1695251464844,9,0,20,306.1695251464844,1.0,R_A5,31,0.0,STANDARD,1709.5638427734375
