WELLMODEL,DRAWDOWN,WELL,DEPTH,CONIPOS,SGAS,PRESSURE,DATE,SWAT,CONBPRES,CONIDX,CONJPOS,CONKPOS
STANDARD,0,R_A2,1641.094970703125,22,0.0,300.6733093261719,2018-01-01,0.055748213082551956,300.6733093261719,1,30,1
STANDARD,0,R_A2,1642.8890380859375,22,0.0,300.7936096191406,2018-01-01,0.05881066620349884,300.7936096191406,2,30,2
STANDARD,0,R_A2,1644.68310546875,22,0.0,300.9139099121094,2018-01-01,0.06129923462867737,300.9139099121094,3,30,3
STANDARD,0,R_A2,1646.4771728515625,22,0.0,301.0342102050781,2018-01-01,0.06717785447835922,301.0342102050781,4,30,4
STANDARD,0,R_A2,1648.2713623046875,22,0.0,301.1545104980469,2018-01-01,0.13372820615768433,301.1545104980469,5,30,5
STANDARD,0,R_A2,1650.0654296875,22,0.0,301.27484130859375,2018-01-01,0.30576056241989136,301.27484130859375,6,30,6
STANDARD,0,R_A2,1651.859619140625,22,0.0,301.3951721191406,2018-01-01,0.893852174282074,301.3951721191406,7,30,7
STANDARD,0,R_A2,1653.6536865234375,22,0.0,301.5154724121094,2018-01-01,0.6481541991233826,301.5154724121094,8,30,8
STANDARD,0,R_A2,1655.44775390625,22,0.0,301.63580322265625,2018-01-01,0.18723928928375244,301.63580322265625,9,30,9
STANDARD,0,R_A2,1657.2418212890625,22,0.0,301.7561340332031,2018-01-01,0.9045571684837341,301.7561340332031,10,30,10
STANDARD,0,R_A2,1659.1368408203125,22,0.0,301.88323974609375,2018-01-01,0.07894028723239899,301.88323974609375,11,30,11
STANDARD,0,R_A2,1661.132568359375,22,0.0,302.01708984375,2018-01-01,0.079011470079422,302.01708984375,12,30,12
STANDARD,0,R_A2,1663.12841796875,22,0.0,302.1509704589844,2018-01-01,0.45304223895072937,302.1509704589844,13,30,13
STANDARD,0,R_A2,1665.1241455078125,22,0.0,302.28485107421875,2018-01-01,0.5042955279350281,302.28485107421875,14,30,14
STANDARD,0,R_A2,1667.1199951171875,22,0.0,302.4187316894531,2018-01-01,0.6907110214233398,302.4187316894531,15,30,15
STANDARD,0,R_A2,1669.11572265625,22,0.0,302.5526123046875,2018-01-01,0.964935839176178,302.5526123046875,16,30,16
STANDARD,0,R_A2,1671.111572265625,22,0.0,302.6864929199219,2018-01-01,0.9508187174797058,302.6864929199219,17,30,17
STANDARD,0,R_A2,1672.9881591796875,22,0.0,302.8123779296875,2018-01-01,0.983161985874176,302.8123779296875,18,30,18
STANDARD,0,R_A2,1674.229736328125,22,0.0,302.89569091796875,2018-01-01,0.9968782663345337,302.89569091796875,19,29,18
STANDARD,0,R_A2,1676.1676025390625,22,0.0,303.02569580078125,2018-01-01,1.0,303.02569580078125,20,29,27
STANDARD,0,R_A2,1677.9368896484375,22,0.0,303.47802734375,2018-01-01,1.0,303.47802734375,21,29,28
STANDARD,0,R_A2,1679.7061767578125,22,0.0,303.64569091796875,2018-01-01,1.0,303.64569091796875,22,29,29
STANDARD,0,R_A2,1681.4754638671875,22,0.0,303.8133544921875,2018-01-01,1.0,303.8133544921875,23,29,30
STANDARD,0,R_A2,1683.2447509765625,22,0.0,303.98101806640625,2018-01-01,1.0,303.98101806640625,24,29,31
STANDARD,0,R_A3,1609.243408203125,28,0.0,298.53814697265625,2018-01-01,0.6481541991233826,298.53814697265625,1,41,1
STANDARD,0,R_A3,1611.3077392578125,28,0.0,298.676513671875,2018-01-01,0.19721345603466034,298.676513671875,2,41,2
STANDARD,0,R_A3,1613.3720703125,28,0.0,298.8148498535156,2018-01-01,0.15777362883090973,298.8148498535156,3,41,3
STANDARD,0,R_A3,1615.4365234375,28,0.0,298.9532165527344,2018-01-01,0.1718059778213501,298.9532165527344,4,41,4
STANDARD,0,R_A3,1617.5008544921875,28,0.0,299.0915832519531,2018-01-01,0.6481541991233826,299.0915832519531,5,41,5
STANDARD,0,R_A3,1619.565185546875,28,0.0,299.2299499511719,2018-01-01,0.3384052515029907,299.2299499511719,6,41,6
STANDARD,0,R_A3,1609.3663330078125,29,0.0,298.54638671875,2018-01-01,0.6481541991233826,298.54638671875,7,41,6
STANDARD,0,R_A3,1611.4163818359375,29,0.0,298.68377685546875,2018-01-01,0.19685770571231842,298.68377685546875,8,41,7
STANDARD,0,R_A3,1613.46630859375,29,0.0,298.8211669921875,2018-01-01,0.3490063548088074,298.8211669921875,9,41,8
STANDARD,0,R_A3,1615.516357421875,29,0.0,298.95855712890625,2018-01-01,0.8026683926582336,298.95855712890625,10,41,9
STANDARD,0,R_A3,1617.5662841796875,29,0.0,299.095947265625,2018-01-01,0.7972224354743958,299.095947265625,11,41,10
STANDARD,0,R_A3,1619.750732421875,29,0.0,299.24237060546875,2018-01-01,0.04908576235175133,299.24237060546875,12,41,11
STANDARD,0,R_A3,1622.0697021484375,29,0.0,299.3978271484375,2018-01-01,0.054848283529281616,299.3978271484375,13,41,12
STANDARD,0,R_A3,1624.388671875,29,0.0,299.5532531738281,2018-01-01,0.37202560901641846,299.5532531738281,14,41,13
STANDARD,0,R_A3,1629.026611328125,29,0.0,299.8641662597656,2018-01-01,0.4873570203781128,299.8641662597656,15,41,15
STANDARD,0,R_A3,1630.9468994140625,29,0.0,299.992919921875,2018-01-01,0.8076774477958679,299.992919921875,16,41,16
STANDARD,0,R_A3,1633.5262451171875,29,0.0,300.16583251953125,2018-01-01,1.0,300.16583251953125,17,41,27
STANDARD,0,R_A3,1637.1630859375,29,0.0,300.40966796875,2018-01-01,0.04337825998663902,300.40966796875,18,41,28
STANDARD,0,R_A3,1640.8001708984375,29,0.0,300.6535339355469,2018-01-01,0.05151337385177612,300.6535339355469,19,41,29
STANDARD,0,R_A3,1644.4371337890625,29,0.0,300.89739990234375,2018-01-01,1.0,300.89739990234375,20,41,30
STANDARD,0,R_A3,1648.0740966796875,29,0.0,301.14129638671875,2018-01-01,0.06231296807527542,301.14129638671875,21,41,31
STANDARD,0,R_A4,1631.1873779296875,30,0.0,300.009033203125,2018-01-01,0.053005583584308624,300.009033203125,1,52,1
STANDARD,0,R_A4,1627.4293212890625,31,0.0,299.7571105957031,2018-01-01,0.04966719448566437,299.7571105957031,2,52,1
STANDARD,0,R_A4,1629.4896240234375,31,0.0,299.89520263671875,2018-01-01,0.050943583250045776,299.89520263671875,3,52,2
STANDARD,0,R_A4,1631.5498046875,31,0.0,300.0333251953125,2018-01-01,0.05345940962433815,300.0333251953125,4,52,3
STANDARD,0,R_A4,1633.610107421875,31,0.0,300.17144775390625,2018-01-01,0.058497145771980286,300.17144775390625,5,52,4
STANDARD,0,R_A4,1632.3968505859375,32,0.0,300.0901184082031,2018-01-01,0.05785714462399483,300.0901184082031,6,52,4
STANDARD,0,R_A4,1635.880615234375,32,0.0,300.3236999511719,2018-01-01,0.058354947715997696,300.3236999511719,7,51,4
STANDARD,0,R_A4,1637.321044921875,33,0.0,300.4202575683594,2018-01-01,0.0618814118206501,300.4202575683594,8,51,4
STANDARD,0,R_A4,1635.474609375,33,0.0,300.29644775390625,2018-01-01,0.05655122175812721,300.29644775390625,9,51,3
STANDARD,0,R_A4,1642.1485595703125,33,0.0,300.74395751953125,2018-01-01,0.14695020020008087,300.74395751953125,10,50,4
STANDARD,0,R_A4,1641.132080078125,34,0.0,300.67578125,2018-01-01,0.08094248175621033,300.67578125,11,50,4
STANDARD,0,R_A4,1639.20703125,34,0.0,300.5467224121094,2018-01-01,0.12245088070631027,300.5467224121094,12,50,3
STANDARD,0,R_A4,1640.9061279296875,35,0.0,300.66064453125,2018-01-01,0.12450994551181793,300.66064453125,13,50,3
STANDARD,0,R_A4,1639.0426025390625,35,0.0,300.53570556640625,2018-01-01,0.22938384115695953,300.53570556640625,14,50,2
STANDARD,0,R_A4,1641.93212890625,35,0.0,300.72943115234375,2018-01-01,0.23677265644073486,300.72943115234375,15,49,2
STANDARD,0,R_A4,1642.357421875,36,0.0,300.7579650878906,2018-01-01,0.12670636177062988,300.7579650878906,16,49,30
STANDARD,0,R_A4,1639.6068115234375,36,0.0,300.5735168457031,2018-01-01,0.04889002442359924,300.5735168457031,17,48,30
STANDARD,0,R_A4,1646.7513427734375,37,0.0,301.0526123046875,2018-01-01,0.2428145408630371,301.0526123046875,18,48,30
STANDARD,0,R_A4,1653.461669921875,38,0.0,301.5025939941406,2018-01-01,0.3171052634716034,301.5025939941406,19,48,30
STANDARD,0,R_A4,1657.8184814453125,38,0.0,301.7947998046875,2018-01-01,0.6481541991233826,301.7947998046875,20,47,30
STANDARD,0,R_A5,1685.026611328125,31,0.0,304.1498718261719,2018-01-01,1.0,304.1498718261719,1,20,1
STANDARD,0,R_A5,1687.3070068359375,31,0.0,304.0601806640625,2018-01-01,1.0,304.0601806640625,2,20,2
STANDARD,0,R_A5,1689.5875244140625,31,0.0,304.27630615234375,2018-01-01,1.0,304.27630615234375,3,20,3
STANDARD,0,R_A5,1691.8680419921875,31,0.0,304.4924011230469,2018-01-01,1.0,304.4924011230469,4,20,4
STANDARD,0,R_A5,1694.1485595703125,31,0.0,304.7085266113281,2018-01-01,1.0,304.7085266113281,5,20,5
STANDARD,0,R_A5,1696.4290771484375,31,0.0,304.9246520996094,2018-01-01,1.0,304.9246520996094,6,20,6
STANDARD,0,R_A5,1698.70947265625,31,0.0,305.446533203125,2018-01-01,1.0,305.446533203125,7,20,7
