CONKPOS,CONBPRES,CONIDX,SWAT,CONJPOS,WELL,SGAS,WELLMODEL,CONIPOS,DEPTH,DATE,DRAWDOWN,PRESSURE
1,300.6733093261719,1,0.055880606174468994,30,R_A2,0.0,STANDARD,22,1641.094970703125,2018-01-01,0,300.6733093261719
2,300.7936096191406,2,0.05794878676533699,30,R_A2,0.0,STANDARD,22,1642.8890380859375,2018-01-01,0,300.7936096191406
3,300.9139099121094,3,0.06058797240257263,30,R_A2,0.0,STANDARD,22,1644.68310546875,2018-01-01,0,300.9139099121094
4,301.0342102050781,4,0.0678098052740097,30,R_A2,0.0,STANDARD,22,1646.4771728515625,2018-01-01,0,301.0342102050781
5,301.1545104980469,5,0.07152793556451797,30,R_A2,0.0,STANDARD,22,1648.2713623046875,2018-01-01,0,301.1545104980469
6,301.27484130859375,6,0.14327770471572876,30,R_A2,0.0,STANDARD,22,1650.0654296875,2018-01-01,0,301.27484130859375
7,301.3951721191406,7,0.2598637044429779,30,R_A2,0.0,STANDARD,22,1651.859619140625,2018-01-01,0,301.3951721191406
8,301.5154724121094,8,0.6481541991233826,30,R_A2,0.0,STANDARD,22,1653.6536865234375,2018-01-01,0,301.5154724121094
9,301.63580322265625,9,0.6481541991233826,30,R_A2,0.0,STANDARD,22,1655.44775390625,2018-01-01,0,301.63580322265625
10,301.7561340332031,10,0.9135551452636719,30,R_A2,0.0,STANDARD,22,1657.2418212890625,2018-01-01,0,301.7561340332031
11,301.88323974609375,11,0.07876349240541458,30,R_A2,0.0,STANDARD,22,1659.1368408203125,2018-01-01,0,301.88323974609375
12,302.01708984375,12,0.0862409919500351,30,R_A2,0.0,STANDARD,22,1661.132568359375,2018-01-01,0,302.01708984375
13,302.1509704589844,13,0.4577699303627014,30,R_A2,0.0,STANDARD,22,1663.12841796875,2018-01-01,0,302.1509704589844
14,302.28485107421875,14,0.519985556602478,30,R_A2,0.0,STANDARD,22,1665.1241455078125,2018-01-01,0,302.28485107421875
15,302.4187316894531,15,0.6918675303459167,30,R_A2,0.0,STANDARD,22,1667.1199951171875,2018-01-01,0,302.4187316894531
16,302.5526123046875,16,0.9727101922035217,30,R_A2,0.0,STANDARD,22,1669.11572265625,2018-01-01,0,302.5526123046875
17,302.6864929199219,17,0.9494145512580872,30,R_A2,0.0,STANDARD,22,1671.111572265625,2018-01-01,0,302.6864929199219
18,302.8123779296875,18,0.9820622205734253,30,R_A2,0.0,STANDARD,22,1672.9881591796875,2018-01-01,0,302.8123779296875
18,302.89569091796875,19,0.9921741485595703,29,R_A2,0.0,STANDARD,22,1674.229736328125,2018-01-01,0,302.89569091796875
27,303.02569580078125,20,0.4947701394557953,29,R_A2,0.0,STANDARD,22,1676.1676025390625,2018-01-01,0,303.02569580078125
28,303.47802734375,21,1.0,29,R_A2,0.0,STANDARD,22,1677.9368896484375,2018-01-01,0,303.47802734375
29,303.64569091796875,22,1.0,29,R_A2,0.0,STANDARD,22,1679.7061767578125,2018-01-01,0,303.64569091796875
30,303.8133544921875,23,1.0,29,R_A2,0.0,STANDARD,22,1681.4754638671875,2018-01-01,0,303.8133544921875
31,303.98101806640625,24,1.0,29,R_A2,0.0,STANDARD,22,1683.2447509765625,2018-01-01,0,303.98101806640625
1,298.53814697265625,1,0.30849525332450867,41,R_A3,0.0,STANDARD,28,1609.243408203125,2018-01-01,0,298.53814697265625
2,298.676513671875,2,0.19968974590301514,41,R_A3,0.0,STANDARD,28,1611.3077392578125,2018-01-01,0,298.676513671875
3,298.8148498535156,3,0.19958947598934174,41,R_A3,0.0,STANDARD,28,1613.3720703125,2018-01-01,0,298.8148498535156
4,298.9532165527344,4,0.37015843391418457,41,R_A3,0.0,STANDARD,28,1615.4365234375,2018-01-01,0,298.9532165527344
5,299.0915832519531,5,0.8261942863464355,41,R_A3,0.0,STANDARD,28,1617.5008544921875,2018-01-01,0,299.0915832519531
6,299.2299499511719,6,0.2662692070007324,41,R_A3,0.0,STANDARD,28,1619.565185546875,2018-01-01,0,299.2299499511719
6,298.54638671875,7,0.6481541991233826,41,R_A3,0.0,STANDARD,29,1609.3663330078125,2018-01-01,0,298.54638671875
7,298.68377685546875,8,0.19361057877540588,41,R_A3,0.0,STANDARD,29,1611.4163818359375,2018-01-01,0,298.68377685546875
8,298.8211669921875,9,0.19695129990577698,41,R_A3,0.0,STANDARD,29,1613.46630859375,2018-01-01,0,298.8211669921875
9,298.95855712890625,10,0.7978300452232361,41,R_A3,0.0,STANDARD,29,1615.516357421875,2018-01-01,0,298.95855712890625
10,299.095947265625,11,0.8037355542182922,41,R_A3,0.0,STANDARD,29,1617.5662841796875,2018-01-01,0,299.095947265625
11,299.24237060546875,12,0.0496298223733902,41,R_A3,0.0,STANDARD,29,1619.750732421875,2018-01-01,0,299.24237060546875
12,299.3978271484375,13,0.053643446415662766,41,R_A3,0.0,STANDARD,29,1622.0697021484375,2018-01-01,0,299.3978271484375
13,299.5532531738281,14,0.37673479318618774,41,R_A3,0.0,STANDARD,29,1624.388671875,2018-01-01,0,299.5532531738281
15,299.8641662597656,15,0.5016454458236694,41,R_A3,0.0,STANDARD,29,1629.026611328125,2018-01-01,0,299.8641662597656
16,299.992919921875,16,0.8152031302452087,41,R_A3,0.0,STANDARD,29,1630.9468994140625,2018-01-01,0,299.992919921875
27,300.16583251953125,17,0.7525281310081482,41,R_A3,0.0,STANDARD,29,1633.5262451171875,2018-01-01,0,300.16583251953125
28,300.40966796875,18,0.04628218337893486,41,R_A3,0.0,STANDARD,29,1637.1630859375,2018-01-01,0,300.40966796875
29,300.6535339355469,19,0.05226979777216911,41,R_A3,0.0,STANDARD,29,1640.8001708984375,2018-01-01,0,300.6535339355469
30,300.89739990234375,20,0.8057911992073059,41,R_A3,0.0,STANDARD,29,1644.4371337890625,2018-01-01,0,300.89739990234375
