CONJPOS,CONIDX,PRESSURE,CONIPOS,SWAT,SGAS,WELLMODEL,DATE,WELL,DRAWDOWN,CONBPRES,CONKPOS,DEPTH
30,1,300.6733093261719,22,0.05682307109236717,0.0,STANDARD,2018-01-01,R_A2,0,300.6733093261719,1,1641.094970703125
30,2,300.7936096191406,22,0.059868622571229935,0.0,STANDARD,2018-01-01,R_A2,0,300.7936096191406,2,1642.8890380859375
30,3,300.9139099121094,22,0.0626271441578865,0.0,STANDARD,2018-01-01,R_A2,0,300.9139099121094,3,1644.68310546875
30,4,301.0342102050781,22,0.06645650416612625,0.0,STANDARD,2018-01-01,R_A2,0,301.0342102050781,4,1646.4771728515625
30,5,301.1545104980469,22,0.07079914212226868,0.0,STANDARD,2018-01-01,R_A2,0,301.1545104980469,5,1648.2713623046875
30,6,301.27484130859375,22,0.23910002410411835,0.0,STANDARD,2018-01-01,R_A2,0,301.27484130859375,6,1650.0654296875
30,7,301.3951721191406,22,0.8951376676559448,0.0,STANDARD,2018-01-01,R_A2,0,301.3951721191406,7,1651.859619140625
30,8,301.5154724121094,22,0.8685147166252136,0.0,STANDARD,2018-01-01,R_A2,0,301.5154724121094,8,1653.6536865234375
30,9,301.63580322265625,22,0.894565999507904,0.0,STANDARD,2018-01-01,R_A2,0,301.63580322265625,9,1655.44775390625
30,10,301.7561340332031,22,0.9062598943710327,0.0,STANDARD,2018-01-01,R_A2,0,301.7561340332031,10,1657.2418212890625
30,11,301.88323974609375,22,0.07765933871269226,0.0,STANDARD,2018-01-01,R_A2,0,301.88323974609375,11,1659.1368408203125
30,12,302.01708984375,22,0.08095082640647888,0.0,STANDARD,2018-01-01,R_A2,0,302.01708984375,12,1661.132568359375
30,13,302.1509704589844,22,0.4631236791610718,0.0,STANDARD,2018-01-01,R_A2,0,302.1509704589844,13,1663.12841796875
30,14,302.28485107421875,22,0.5077258348464966,0.0,STANDARD,2018-01-01,R_A2,0,302.28485107421875,14,1665.1241455078125
30,15,302.4187316894531,22,0.6800851821899414,0.0,STANDARD,2018-01-01,R_A2,0,302.4187316894531,15,1667.1199951171875
30,16,302.5526123046875,22,0.9764990210533142,0.0,STANDARD,2018-01-01,R_A2,0,302.5526123046875,16,1669.11572265625
30,17,302.6864929199219,22,0.9521156549453735,0.0,STANDARD,2018-01-01,R_A2,0,302.6864929199219,17,1671.111572265625
30,18,302.8123779296875,22,0.9803889393806458,0.0,STANDARD,2018-01-01,R_A2,0,302.8123779296875,18,1672.9881591796875
29,19,302.89569091796875,22,0.9921049475669861,0.0,STANDARD,2018-01-01,R_A2,0,302.89569091796875,18,1674.229736328125
29,20,303.02569580078125,22,0.4429566264152527,0.0,STANDARD,2018-01-01,R_A2,0,303.02569580078125,27,1676.1676025390625
29,21,303.47802734375,22,1.0,0.0,STANDARD,2018-01-01,R_A2,0,303.47802734375,28,1677.9368896484375
29,22,303.64569091796875,22,1.0,0.0,STANDARD,2018-01-01,R_A2,0,303.64569091796875,29,1679.7061767578125
29,23,303.8133544921875,22,1.0,0.0,STANDARD,2018-01-01,R_A2,0,303.8133544921875,30,1681.4754638671875
29,24,303.98101806640625,22,1.0,0.0,STANDARD,2018-01-01,R_A2,0,303.98101806640625,31,1683.2447509765625
41,1,298.53814697265625,28,0.6481541991233826,0.0,STANDARD,2018-01-01,R_A3,0,298.53814697265625,1,1609.243408203125
41,2,298.676513671875,28,0.1953458935022354,0.0,STANDARD,2018-01-01,R_A3,0,298.676513671875,2,1611.3077392578125
41,3,298.8148498535156,28,0.19456657767295837,0.0,STANDARD,2018-01-01,R_A3,0,298.8148498535156,3,1613.3720703125
41,4,298.9532165527344,28,0.3696915805339813,0.0,STANDARD,2018-01-01,R_A3,0,298.9532165527344,4,1615.4365234375
41,5,299.0915832519531,28,0.834352970123291,0.0,STANDARD,2018-01-01,R_A3,0,299.0915832519531,5,1617.5008544921875
41,6,299.2299499511719,28,0.6481541991233826,0.0,STANDARD,2018-01-01,R_A3,0,299.2299499511719,6,1619.565185546875
41,7,298.54638671875,29,0.6481541991233826,0.0,STANDARD,2018-01-01,R_A3,0,298.54638671875,6,1609.3663330078125
41,8,298.68377685546875,29,0.1984773725271225,0.0,STANDARD,2018-01-01,R_A3,0,298.68377685546875,7,1611.4163818359375
41,9,298.8211669921875,29,0.1977151483297348,0.0,STANDARD,2018-01-01,R_A3,0,298.8211669921875,8,1613.46630859375
41,10,298.95855712890625,29,0.800819993019104,0.0,STANDARD,2018-01-01,R_A3,0,298.95855712890625,9,1615.516357421875
41,11,299.095947265625,29,0.7992424964904785,0.0,STANDARD,2018-01-01,R_A3,0,299.095947265625,10,1617.5662841796875
41,12,299.24237060546875,29,0.05049673467874527,0.0,STANDARD,2018-01-01,R_A3,0,299.24237060546875,11,1619.750732421875
41,13,299.3978271484375,29,0.05441533401608467,0.0,STANDARD,2018-01-01,R_A3,0,299.3978271484375,12,1622.0697021484375
41,14,299.5532531738281,29,0.3730502128601074,0.0,STANDARD,2018-01-01,R_A3,0,299.5532531738281,13,1624.388671875
41,15,299.7087097167969,29,0.4005099833011627,0.0,STANDARD,2018-01-01,R_A3,0,299.7087097167969,14,1626.707763671875
