WELLMODEL,CONIPOS,CONBPRES,PRESSURE,DRAWDOWN,WELL,CONKPOS,DATE,CONJPOS,SGAS,CONIDX,DEPTH,SWAT
STANDARD,22,300.6733093261719,300.6733093261719,0,R_A2,1,2018-01-01,30,0.0,1,1641.094970703125,0.10821601003408432
STANDARD,22,300.7936096191406,300.7936096191406,0,R_A2,2,2018-01-01,30,0.0,2,1642.8890380859375,0.11058630049228668
STANDARD,22,300.9139099121094,300.9139099121094,0,R_A2,3,2018-01-01,30,0.0,3,1644.68310546875,0.07774579524993896
STANDARD,22,301.0342102050781,301.0342102050781,0,R_A2,4,2018-01-01,30,0.0,4,1646.4771728515625,0.06678543984889984
STANDARD,22,301.1545104980469,301.1545104980469,0,R_A2,5,2018-01-01,30,0.0,5,1648.2713623046875,0.07244458049535751
STANDARD,22,301.27484130859375,301.27484130859375,0,R_A2,6,2018-01-01,30,0.0,6,1650.0654296875,0.1185254231095314
STANDARD,22,301.3951721191406,301.3951721191406,0,R_A2,7,2018-01-01,30,0.0,7,1651.859619140625,0.6481541991233826
STANDARD,22,301.5154724121094,301.5154724121094,0,R_A2,8,2018-01-01,30,0.0,8,1653.6536865234375,0.6481541991233826
STANDARD,22,301.63580322265625,301.63580322265625,0,R_A2,9,2018-01-01,30,0.0,9,1655.44775390625,0.1735297441482544
STANDARD,22,301.7561340332031,301.7561340332031,0,R_A2,10,2018-01-01,30,0.0,10,1657.2418212890625,0.32667964696884155
STANDARD,22,301.88323974609375,301.88323974609375,0,R_A2,11,2018-01-01,30,0.0,11,1659.1368408203125,0.07769951224327087
STANDARD,22,302.01708984375,302.01708984375,0,R_A2,12,2018-01-01,30,0.0,12,1661.132568359375,0.07633190602064133
STANDARD,22,302.1509704589844,302.1509704589844,0,R_A2,13,2018-01-01,30,0.0,13,1663.12841796875,0.4555773138999939
STANDARD,22,302.28485107421875,302.28485107421875,0,R_A2,14,2018-01-01,30,0.0,14,1665.1241455078125,0.49689048528671265
STANDARD,22,302.4187316894531,302.4187316894531,0,R_A2,15,2018-01-01,30,0.0,15,1667.1199951171875,0.697963297367096
STANDARD,22,302.5526123046875,302.5526123046875,0,R_A2,16,2018-01-01,30,0.0,16,1669.11572265625,0.9702016711235046
STANDARD,22,302.6864929199219,302.6864929199219,0,R_A2,17,2018-01-01,30,0.0,17,1671.111572265625,0.9523286819458008
