PRESSURE,DRAWDOWN,WELLMODEL,CONIDX,DATE,WELL,CONBPRES,SGAS,CONJPOS,CONIPOS,CONKPOS,DEPTH,SWAT
300.6733093261719,0,STANDARD,1,2018-01-01,R_A2,300.6733093261719,0.0,30,22,1,1641.094970703125,0.056692592799663544
300.7936096191406,0,STANDARD,2,2018-01-01,R_A2,300.7936096191406,0.0,30,22,2,1642.8890380859375,0.05867929756641388
300.9139099121094,0,STANDARD,3,2018-01-01,R_A2,300.9139099121094,0.0,30,22,3,1644.68310546875,0.061895012855529785
301.0342102050781,0,STANDARD,4,2018-01-01,R_A2,301.0342102050781,0.0,30,22,4,1646.4771728515625,0.06773295253515244
301.1545104980469,0,STANDARD,5,2018-01-01,R_A2,301.1545104980469,0.0,30,22,5,1648.2713623046875,0.07102545350790024
301.27484130859375,0,STANDARD,6,2018-01-01,R_A2,301.27484130859375,0.0,30,22,6,1650.0654296875,0.32000941038131714
301.3951721191406,0,STANDARD,7,2018-01-01,R_A2,301.3951721191406,0.0,30,22,7,1651.859619140625,0.8964528441429138
301.5154724121094,0,STANDARD,8,2018-01-01,R_A2,301.5154724121094,0.0,30,22,8,1653.6536865234375,0.721605658531189
301.63580322265625,0,STANDARD,9,2018-01-01,R_A2,301.63580322265625,0.0,30,22,9,1655.44775390625,0.8981422781944275
301.7561340332031,0,STANDARD,10,2018-01-01,R_A2,301.7561340332031,0.0,30,22,10,1657.2418212890625,0.9288972020149231
301.88323974609375,0,STANDARD,11,2018-01-01,R_A2,301.88323974609375,0.0,30,22,11,1659.1368408203125,0.0764261856675148
302.01708984375,0,STANDARD,12,2018-01-01,R_A2,302.01708984375,0.0,30,22,12,1661.132568359375,0.07991793006658554
302.1509704589844,0,STANDARD,13,2018-01-01,R_A2,302.1509704589844,0.0,30,22,13,1663.12841796875,0.44190388917922974
302.28485107421875,0,STANDARD,14,2018-01-01,R_A2,302.28485107421875,0.0,30,22,14,1665.1241455078125,0.5030866861343384
302.4187316894531,0,STANDARD,15,2018-01-01,R_A2,302.4187316894531,0.0,30,22,15,1667.1199951171875,0.6875477433204651
302.5526123046875,0,STANDARD,16,2018-01-01,R_A2,302.5526123046875,0.0,30,22,16,1669.11572265625,0.9696621894836426
