ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4908777,848995,582586,406267,57202327
Valysar,CentralSouth,50835446,10350920,7862471,5482894,771991561
Valysar,CentralNorth,30427750,5229266,3531692,2462826,346765873
Valysar,NorthHorst,3233577,416526,210969,129588,25386230
Valysar,CentralRamp,13747335,1856105,1131532,789074,111101634
Valysar,CentralHorst,81298016,13016994,9330419,6506569,916124878
Valysar,EastLowland,288978,15869,960,669,94218
Therys,WestLowland,2193689,377104,170796,119105,16769971
Therys,CentralSouth,5505494,1303357,778273,542729,76416175
Therys,CentralNorth,13614066,2907211,1652252,1152198,162229459
Therys,NorthHorst,5444409,743850,271168,166565,32630063
Therys,CentralRamp,6771661,1667571,1242778,866651,122024487
Therys,CentralHorst,25651843,6774664,5262328,3669685,516691609
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,252999,41224,13142,9164,1290326
Volon,CentralSouth,18642826,3355972,2217535,1546398,217732895
Volon,CentralNorth,2230093,359786,204889,142880,20117462
Volon,NorthHorst,4359855,876903,661325,406219,79578396
Volon,CentralRamp,10336345,1868218,1343275,936733,131891963
Volon,CentralHorst,75037188,13732884,10494493,7318335,1030421641
Volon,EastLowland,0,0,0,0,0
