DRAWDOWN,SWAT,PRESSURE,CONKPOS,CONBPRES,CONIPOS,DATE,WELL,CONIDX,WELLMODEL,CONJPOS,DEPTH,SGAS
0,0.12268490344285965,300.5350341796875,1,300.5350341796875,22,2018-01-01,R_A2,1,STANDARD,30,1641.094970703125,0.0
0,0.06359879672527313,300.65533447265625,2,300.65533447265625,22,2018-01-01,R_A2,2,STANDARD,30,1642.8890380859375,0.0
0,0.13304267823696136,300.775634765625,3,300.775634765625,22,2018-01-01,R_A2,3,STANDARD,30,1644.68310546875,0.0
0,0.11606349050998688,300.89593505859375,4,300.89593505859375,22,2018-01-01,R_A2,4,STANDARD,30,1646.4771728515625,0.0
0,0.11819882690906525,301.0162353515625,5,301.0162353515625,22,2018-01-01,R_A2,5,STANDARD,30,1648.2713623046875,0.0
0,0.3282652795314789,301.13653564453125,6,301.13653564453125,22,2018-01-01,R_A2,6,STANDARD,30,1650.0654296875,0.0
0,0.9233703017234802,301.2568664550781,7,301.2568664550781,22,2018-01-01,R_A2,7,STANDARD,30,1651.859619140625,0.0
0,0.9015779495239258,301.3771667480469,8,301.3771667480469,22,2018-01-01,R_A2,8,STANDARD,30,1653.6536865234375,0.0
0,0.954037606716156,301.49749755859375,9,301.49749755859375,22,2018-01-01,R_A2,9,STANDARD,30,1655.44775390625,0.0
0,0.9385443329811096,301.6178283691406,10,301.6178283691406,22,2018-01-01,R_A2,10,STANDARD,30,1657.2418212890625,0.0
0,0.08877401798963547,301.74493408203125,11,301.74493408203125,22,2018-01-01,R_A2,11,STANDARD,30,1659.1368408203125,0.0
0,0.09545209258794785,301.8787841796875,12,301.8787841796875,22,2018-01-01,R_A2,12,STANDARD,30,1661.132568359375,0.0
0,0.5076301097869873,302.01263427734375,13,302.01263427734375,22,2018-01-01,R_A2,13,STANDARD,30,1663.12841796875,0.0
0,0.6058714985847473,302.1465148925781,14,302.1465148925781,22,2018-01-01,R_A2,14,STANDARD,30,1665.1241455078125,0.0
0,0.7912337183952332,302.2803955078125,15,302.2803955078125,22,2018-01-01,R_A2,15,STANDARD,30,1667.1199951171875,0.0
0,1.0,302.4142761230469,16,302.4142761230469,22,2018-01-01,R_A2,16,STANDARD,30,1669.11572265625,0.0
0,0.9949907660484314,302.54815673828125,17,302.54815673828125,22,2018-01-01,R_A2,17,STANDARD,30,1671.111572265625,0.0
0,1.0,302.86041259765625,18,302.86041259765625,22,2018-01-01,R_A2,18,STANDARD,30,1672.9881591796875,0.0
0,1.0,302.97808837890625,18,302.97808837890625,22,2018-01-01,R_A2,19,STANDARD,29,1674.229736328125,0.0
0,1.0,303.3103942871094,27,303.3103942871094,22,2018-01-01,R_A2,20,STANDARD,29,1676.1676025390625,0.0
0,1.0,303.47802734375,28,303.47802734375,22,2018-01-01,R_A2,21,STANDARD,29,1677.9368896484375,0.0
0,1.0,303.64569091796875,29,303.64569091796875,22,2018-01-01,R_A2,22,STANDARD,29,1679.7061767578125,0.0
0,1.0,303.8133544921875,30,303.8133544921875,22,2018-01-01,R_A2,23,STANDARD,29,1681.4754638671875,0.0
0,1.0,303.98101806640625,31,303.98101806640625,22,2018-01-01,R_A2,24,STANDARD,29,1683.2447509765625,0.0
0,0.6481541991233826,298.39996337890625,1,298.39996337890625,28,2018-01-01,R_A3,1,STANDARD,41,1609.243408203125,0.0
0,0.11823459714651108,298.5382995605469,2,298.5382995605469,28,2018-01-01,R_A3,2,STANDARD,41,1611.3077392578125,0.0
0,0.1801089346408844,298.6766357421875,3,298.6766357421875,28,2018-01-01,R_A3,3,STANDARD,41,1613.3720703125,0.0
0,0.19360242784023285,298.81500244140625,4,298.81500244140625,28,2018-01-01,R_A3,4,STANDARD,41,1615.4365234375,0.0
0,0.6481541991233826,298.953369140625,5,298.953369140625,28,2018-01-01,R_A3,5,STANDARD,41,1617.5008544921875,0.0
0,0.2647240459918976,299.09173583984375,6,299.09173583984375,28,2018-01-01,R_A3,6,STANDARD,41,1619.565185546875,0.0
0,0.2351190596818924,298.408203125,6,298.408203125,29,2018-01-01,R_A3,7,STANDARD,41,1609.3663330078125,0.0
0,0.2019493281841278,298.5455627441406,7,298.5455627441406,29,2018-01-01,R_A3,8,STANDARD,41,1611.4163818359375,0.0
