ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,4908777,727634,468785,326907,46028571,0,0,0,0,0
Valysar,CentralSouth,67833576,11763499,8361133,5830636,820953635,0,0,0,0,0
Valysar,CentralNorth,36382608,6161538,4506842,3142846,442512780,0,0,0,0,0
Valysar,NorthHorst,4782407,665223,356309,218863,42875314,24619636,2275758,1290064,300014969,45902
Valysar,CentralRamp,13747335,1886085,1183252,825141,116179860,0,0,0,0,0
Valysar,CentralHorst,86367811,14155327,10684266,7450674,1049054856,0,0,0,0,0
Valysar,EastLowland,288978,55631,12272,8558,1204916,0,0,0,0,0
Therys,WestLowland,2193689,431413,199090,138835,19548022,0,0,0,0,0
Therys,CentralSouth,12475726,2601945,1534378,1069998,150655763,0,0,0,0,0
Therys,CentralNorth,20653864,4148775,2419741,1687406,237586811,0,0,0,0,0
Therys,NorthHorst,8150674,1150025,472997,290538,56916481,17247277,2894923,1874849,436011491,66710
Therys,CentralRamp,6771661,1557713,1193444,832248,117180539,0,0,0,0,0
Therys,CentralHorst,29249147,7318034,5597311,3903285,549582594,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,252999,48404,24554,17123,2410856,0,0,0,0,0
Volon,CentralSouth,35001289,6603600,4674435,3259718,458968256,0,0,0,0,0
Volon,CentralNorth,6828593,957768,450509,314163,44234084,0,0,0,0,0
Volon,NorthHorst,5577924,1010454,762658,468463,91771878,2929122,521083,452232,105170246,16091
Volon,CentralRamp,12644289,2355023,1801568,1256324,176890364,0,0,0,0,0
Volon,CentralHorst,80624036,14824313,11629822,8110058,1141896137,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
