CONIDX,CONKPOS,WELLMODEL,CONIPOS,WELL,SWAT,PRESSURE,SGAS,DATE,CONJPOS,DEPTH,CONBPRES,DRAWDOWN
1,1,STANDARD,22,R_A2,0.05760246515274048,300.6733093261719,0.0,2018-01-01,30,1641.094970703125,300.6733093261719,0
2,2,STANDARD,22,R_A2,0.05853121727705002,300.7936096191406,0.0,2018-01-01,30,1642.8890380859375,300.7936096191406,0
3,3,STANDARD,22,R_A2,0.06116862595081329,300.9139099121094,0.0,2018-01-01,30,1644.68310546875,300.9139099121094,0
4,4,STANDARD,22,R_A2,0.0663427859544754,301.0342102050781,0.0,2018-01-01,30,1646.4771728515625,301.0342102050781,0
5,5,STANDARD,22,R_A2,0.0687314122915268,301.1545104980469,0.0,2018-01-01,30,1648.2713623046875,301.1545104980469,0
6,6,STANDARD,22,R_A2,0.3121729791164398,301.27484130859375,0.0,2018-01-01,30,1650.0654296875,301.27484130859375,0
7,7,STANDARD,22,R_A2,0.8978545665740967,301.3951721191406,0.0,2018-01-01,30,1651.859619140625,301.3951721191406,0
8,8,STANDARD,22,R_A2,0.8618757724761963,301.5154724121094,0.0,2018-01-01,30,1653.6536865234375,301.5154724121094,0
9,9,STANDARD,22,R_A2,0.9105261564254761,301.63580322265625,0.0,2018-01-01,30,1655.44775390625,301.63580322265625,0
10,10,STANDARD,22,R_A2,0.9083951115608215,301.7561340332031,0.0,2018-01-01,30,1657.2418212890625,301.7561340332031,0
11,11,STANDARD,22,R_A2,0.07604346424341202,301.88323974609375,0.0,2018-01-01,30,1659.1368408203125,301.88323974609375,0
12,12,STANDARD,22,R_A2,0.0789390504360199,302.01708984375,0.0,2018-01-01,30,1661.132568359375,302.01708984375,0
13,13,STANDARD,22,R_A2,0.44872841238975525,302.1509704589844,0.0,2018-01-01,30,1663.12841796875,302.1509704589844,0
14,14,STANDARD,22,R_A2,0.5068296194076538,302.28485107421875,0.0,2018-01-01,30,1665.1241455078125,302.28485107421875,0
15,15,STANDARD,22,R_A2,0.6861860752105713,302.4187316894531,0.0,2018-01-01,30,1667.1199951171875,302.4187316894531,0
16,16,STANDARD,22,R_A2,0.9714688062667847,302.5526123046875,0.0,2018-01-01,30,1669.11572265625,302.5526123046875,0
17,17,STANDARD,22,R_A2,0.948536217212677,302.6864929199219,0.0,2018-01-01,30,1671.111572265625,302.6864929199219,0
18,18,STANDARD,22,R_A2,0.9796320199966431,302.8123779296875,0.0,2018-01-01,30,1672.9881591796875,302.8123779296875,0
19,18,STANDARD,22,R_A2,0.9940532445907593,302.89569091796875,0.0,2018-01-01,29,1674.229736328125,302.89569091796875,0
20,27,STANDARD,22,R_A2,0.6481541991233826,303.02569580078125,0.0,2018-01-01,29,1676.1676025390625,303.02569580078125,0
21,28,STANDARD,22,R_A2,1.0,303.47802734375,0.0,2018-01-01,29,1677.9368896484375,303.47802734375,0
22,29,STANDARD,22,R_A2,1.0,303.64569091796875,0.0,2018-01-01,29,1679.7061767578125,303.64569091796875,0
23,30,STANDARD,22,R_A2,1.0,303.8133544921875,0.0,2018-01-01,29,1681.4754638671875,303.8133544921875,0
24,31,STANDARD,22,R_A2,1.0,303.98101806640625,0.0,2018-01-01,29,1683.2447509765625,303.98101806640625,0
1,1,STANDARD,28,R_A3,0.6481541991233826,298.53814697265625,0.0,2018-01-01,41,1609.243408203125,298.53814697265625,0
2,2,STANDARD,28,R_A3,0.19803451001644135,298.676513671875,0.0,2018-01-01,41,1611.3077392578125,298.676513671875,0
3,3,STANDARD,28,R_A3,0.19370174407958984,298.8148498535156,0.0,2018-01-01,41,1613.3720703125,298.8148498535156,0
4,4,STANDARD,28,R_A3,0.2555322051048279,298.9532165527344,0.0,2018-01-01,41,1615.4365234375,298.9532165527344,0
5,5,STANDARD,28,R_A3,0.8283283710479736,299.0915832519531,0.0,2018-01-01,41,1617.5008544921875,299.0915832519531,0
6,6,STANDARD,28,R_A3,0.6481541991233826,299.2299499511719,0.0,2018-01-01,41,1619.565185546875,299.2299499511719,0
7,6,STANDARD,29,R_A3,0.6481541991233826,298.54638671875,0.0,2018-01-01,41,1609.3663330078125,298.54638671875,0
