CONKPOS,CONIPOS,WELL,CONBPRES,CONIDX,DEPTH,CONJPOS,WELLMODEL,PRESSURE,DATE,SGAS,DRAWDOWN,SWAT
1,22,R_A2,300.7626037597656,1,1641.094970703125,30,STANDARD,300.7626037597656,2018-01-01,0.0,0,0.05431780591607094
2,22,R_A2,300.8829040527344,2,1642.8890380859375,30,STANDARD,300.8829040527344,2018-01-01,0.0,0,0.0547768697142601
3,22,R_A2,301.0032043457031,3,1644.68310546875,30,STANDARD,301.0032043457031,2018-01-01,0.0,0,0.05870649591088295
4,22,R_A2,301.12353515625,4,1646.4771728515625,30,STANDARD,301.12353515625,2018-01-01,0.0,0,0.06446845084428787
5,22,R_A2,301.24383544921875,5,1648.2713623046875,30,STANDARD,301.24383544921875,2018-01-01,0.0,0,0.06762631237506866
6,22,R_A2,301.3641662597656,6,1650.0654296875,30,STANDARD,301.3641662597656,2018-01-01,0.0,0,0.3155311048030853
7,22,R_A2,301.4844665527344,7,1651.859619140625,30,STANDARD,301.4844665527344,2018-01-01,0.0,0,0.6785931587219238
8,22,R_A2,301.60479736328125,8,1653.6536865234375,30,STANDARD,301.60479736328125,2018-01-01,0.0,0,0.6481541991233826
9,22,R_A2,301.7251281738281,9,1655.44775390625,30,STANDARD,301.7251281738281,2018-01-01,0.0,0,0.6481541991233826
10,22,R_A2,301.845458984375,10,1657.2418212890625,30,STANDARD,301.845458984375,2018-01-01,0.0,0,0.8979790210723877
11,22,R_A2,301.9725646972656,11,1659.1368408203125,30,STANDARD,301.9725646972656,2018-01-01,0.0,0,0.06998708099126816
12,22,R_A2,302.1064453125,12,1661.132568359375,30,STANDARD,302.1064453125,2018-01-01,0.0,0,0.07429442554712296
13,22,R_A2,302.24029541015625,13,1663.12841796875,30,STANDARD,302.24029541015625,2018-01-01,0.0,0,0.43455877900123596
14,22,R_A2,302.3741760253906,14,1665.1241455078125,30,STANDARD,302.3741760253906,2018-01-01,0.0,0,0.4739290773868561
15,22,R_A2,302.508056640625,15,1667.1199951171875,30,STANDARD,302.508056640625,2018-01-01,0.0,0,0.6499571800231934
16,22,R_A2,302.6419372558594,16,1669.11572265625,30,STANDARD,302.6419372558594,2018-01-01,0.0,0,0.9429766535758972
17,22,R_A2,302.7758483886719,17,1671.111572265625,30,STANDARD,302.7758483886719,2018-01-01,0.0,0,0.9066797494888306
18,22,R_A2,302.9017333984375,18,1672.9881591796875,30,STANDARD,302.9017333984375,2018-01-01,0.0,0,0.9460875988006592
18,22,R_A2,302.98504638671875,19,1674.229736328125,29,STANDARD,302.98504638671875,2018-01-01,0.0,0,0.9691058993339539
27,22,R_A2,303.11505126953125,20,1676.1676025390625,29,STANDARD,303.11505126953125,2018-01-01,0.0,0,1.0
28,22,R_A2,303.2337646484375,21,1677.9368896484375,29,STANDARD,303.2337646484375,2018-01-01,0.0,0,1.0
29,22,R_A2,303.35247802734375,22,1679.7061767578125,29,STANDARD,303.35247802734375,2018-01-01,0.0,0,0.807176411151886
30,22,R_A2,303.8133544921875,23,1681.4754638671875,29,STANDARD,303.8133544921875,2018-01-01,0.0,0,1.0
31,22,R_A2,303.98101806640625,24,1683.2447509765625,29,STANDARD,303.98101806640625,2018-01-01,0.0,0,1.0
1,28,R_A3,298.6274108886719,1,1609.243408203125,41,STANDARD,298.6274108886719,2018-01-01,0.0,0,0.6481541991233826
2,28,R_A3,298.7657470703125,2,1611.3077392578125,41,STANDARD,298.7657470703125,2018-01-01,0.0,0,0.2258119136095047
3,28,R_A3,298.90411376953125,3,1613.3720703125,41,STANDARD,298.90411376953125,2018-01-01,0.0,0,0.19465385377407074
4,28,R_A3,299.04248046875,4,1615.4365234375,41,STANDARD,299.04248046875,2018-01-01,0.0,0,0.37561774253845215
5,28,R_A3,299.18084716796875,5,1617.5008544921875,41,STANDARD,299.18084716796875,2018-01-01,0.0,0,0.8212069869041443
6,28,R_A3,299.3192138671875,6,1619.565185546875,41,STANDARD,299.3192138671875,2018-01-01,0.0,0,0.2240329533815384
