CONIDX,SGAS,SWAT,WELLMODEL,CONIPOS,DEPTH,DRAWDOWN,CONKPOS,CONBPRES,CONJPOS,DATE,PRESSURE,WELL
1,0.0,0.06048908457159996,STANDARD,22,1641.094970703125,0,1,300.5436096191406,30,2018-01-01,300.5436096191406,R_A2
2,0.0,0.061832085251808167,STANDARD,22,1642.8890380859375,0,2,300.6639099121094,30,2018-01-01,300.6639099121094,R_A2
3,0.0,0.06451094150543213,STANDARD,22,1644.68310546875,0,3,300.7842102050781,30,2018-01-01,300.7842102050781,R_A2
4,0.0,0.07306282222270966,STANDARD,22,1646.4771728515625,0,4,300.9045104980469,30,2018-01-01,300.9045104980469,R_A2
5,0.0,0.07469411194324493,STANDARD,22,1648.2713623046875,0,5,301.0248107910156,30,2018-01-01,301.0248107910156,R_A2
6,0.0,0.3214987516403198,STANDARD,22,1650.0654296875,0,6,301.1451110839844,30,2018-01-01,301.1451110839844,R_A2
7,0.0,0.9160022139549255,STANDARD,22,1651.859619140625,0,7,301.26544189453125,30,2018-01-01,301.26544189453125,R_A2
8,0.0,0.9037110805511475,STANDARD,22,1653.6536865234375,0,8,301.3857421875,30,2018-01-01,301.3857421875,R_A2
9,0.0,0.9345792531967163,STANDARD,22,1655.44775390625,0,9,301.5060729980469,30,2018-01-01,301.5060729980469,R_A2
10,0.0,0.9480008482933044,STANDARD,22,1657.2418212890625,0,10,301.62640380859375,30,2018-01-01,301.62640380859375,R_A2
11,0.0,0.08794346451759338,STANDARD,22,1659.1368408203125,0,11,301.7535095214844,30,2018-01-01,301.7535095214844,R_A2
12,0.0,0.09071860462427139,STANDARD,22,1661.132568359375,0,12,301.8873596191406,30,2018-01-01,301.8873596191406,R_A2
13,0.0,0.5105589628219604,STANDARD,22,1663.12841796875,0,13,302.0212097167969,30,2018-01-01,302.0212097167969,R_A2
14,0.0,0.5816612839698792,STANDARD,22,1665.1241455078125,0,14,302.15509033203125,30,2018-01-01,302.15509033203125,R_A2
15,0.0,0.769347071647644,STANDARD,22,1667.1199951171875,0,15,302.2889709472656,30,2018-01-01,302.2889709472656,R_A2
16,0.0,0.9989013075828552,STANDARD,22,1669.11572265625,0,16,302.4228515625,30,2018-01-01,302.4228515625,R_A2
17,0.0,0.995919406414032,STANDARD,22,1671.111572265625,0,17,302.5567321777344,30,2018-01-01,302.5567321777344,R_A2
18,0.0,1.0,STANDARD,22,1672.9881591796875,0,18,302.86041259765625,30,2018-01-01,302.86041259765625,R_A2
19,0.0,1.0,STANDARD,22,1674.229736328125,0,18,302.97808837890625,29,2018-01-01,302.97808837890625,R_A2
20,0.0,1.0,STANDARD,22,1676.1676025390625,0,27,303.3103942871094,29,2018-01-01,303.3103942871094,R_A2
21,0.0,1.0,STANDARD,22,1677.9368896484375,0,28,303.47802734375,29,2018-01-01,303.47802734375,R_A2
22,0.0,1.0,STANDARD,22,1679.7061767578125,0,29,303.64569091796875,29,2018-01-01,303.64569091796875,R_A2
23,0.0,1.0,STANDARD,22,1681.4754638671875,0,30,303.8133544921875,29,2018-01-01,303.8133544921875,R_A2
24,0.0,1.0,STANDARD,22,1683.2447509765625,0,31,303.98101806640625,29,2018-01-01,303.98101806640625,R_A2
1,0.0,0.6481541991233826,STANDARD,28,1609.243408203125,0,1,298.40850830078125,41,2018-01-01,298.40850830078125,R_A3
2,0.0,0.20167513191699982,STANDARD,28,1611.3077392578125,0,2,298.546875,41,2018-01-01,298.546875,R_A3
3,0.0,0.15413865447044373,STANDARD,28,1613.3720703125,0,3,298.6852111816406,41,2018-01-01,298.6852111816406,R_A3
4,0.0,0.6481541991233826,STANDARD,28,1615.4365234375,0,4,298.8235778808594,41,2018-01-01,298.8235778808594,R_A3
5,0.0,0.8416532278060913,STANDARD,28,1617.5008544921875,0,5,298.9619140625,41,2018-01-01,298.9619140625,R_A3
6,0.0,0.6481541991233826,STANDARD,28,1619.565185546875,0,6,299.10028076171875,41,2018-01-01,299.10028076171875,R_A3
7,0.0,0.6481541991233826,STANDARD,29,1609.3663330078125,0,6,298.416748046875,41,2018-01-01,298.416748046875,R_A3
8,0.0,0.20234021544456482,STANDARD,29,1611.4163818359375,0,7,298.55413818359375,41,2018-01-01,298.55413818359375,R_A3
9,0.0,0.20426899194717407,STANDARD,29,1613.46630859375,0,8,298.6915283203125,41,2018-01-01,298.6915283203125,R_A3
10,0.0,0.8077232837677002,STANDARD,29,1615.516357421875,0,9,298.82891845703125,41,2018-01-01,298.82891845703125,R_A3
11,0.0,0.8097971677780151,STANDARD,29,1617.5662841796875,0,10,298.96630859375,41,2018-01-01,298.96630859375,R_A3
12,0.0,0.051017485558986664,STANDARD,29,1619.750732421875,0,11,299.11273193359375,41,2018-01-01,299.11273193359375,R_A3
