CONKPOS,SWAT,PRESSURE,WELLMODEL,CONIPOS,DRAWDOWN,DEPTH,SGAS,DATE,WELL,CONIDX,CONJPOS,CONBPRES
1,0.05636291578412056,300.68603515625,STANDARD,22,0,1641.094970703125,0.0,2018-01-01,R_A2,1,30,300.68603515625
2,0.05831970274448395,300.80633544921875,STANDARD,22,0,1642.8890380859375,0.0,2018-01-01,R_A2,2,30,300.80633544921875
3,0.061494115740060806,300.9266357421875,STANDARD,22,0,1644.68310546875,0.0,2018-01-01,R_A2,3,30,300.9266357421875
4,0.06726844608783722,301.04693603515625,STANDARD,22,0,1646.4771728515625,0.0,2018-01-01,R_A2,4,30,301.04693603515625
5,0.07050828635692596,301.167236328125,STANDARD,22,0,1648.2713623046875,0.0,2018-01-01,R_A2,5,30,301.167236328125
6,0.31901729106903076,301.2875671386719,STANDARD,22,0,1650.0654296875,0.0,2018-01-01,R_A2,6,30,301.2875671386719
7,0.8943279385566711,301.4078674316406,STANDARD,22,0,1651.859619140625,0.0,2018-01-01,R_A2,7,30,301.4078674316406
8,0.7195683121681213,301.5281982421875,STANDARD,22,0,1653.6536865234375,0.0,2018-01-01,R_A2,8,30,301.5281982421875
9,0.8956573605537415,301.6485290527344,STANDARD,22,0,1655.44775390625,0.0,2018-01-01,R_A2,9,30,301.6485290527344
10,0.9256908893585205,301.76885986328125,STANDARD,22,0,1657.2418212890625,0.0,2018-01-01,R_A2,10,30,301.76885986328125
11,0.07552151381969452,301.8959655761719,STANDARD,22,0,1659.1368408203125,0.0,2018-01-01,R_A2,11,30,301.8959655761719
12,0.0788869708776474,302.0298156738281,STANDARD,22,0,1661.132568359375,0.0,2018-01-01,R_A2,12,30,302.0298156738281
13,0.43864336609840393,302.1636962890625,STANDARD,22,0,1663.12841796875,0.0,2018-01-01,R_A2,13,30,302.1636962890625
14,0.49815377593040466,302.2975769042969,STANDARD,22,0,1665.1241455078125,0.0,2018-01-01,R_A2,14,30,302.2975769042969
15,0.6816487312316895,302.43145751953125,STANDARD,22,0,1667.1199951171875,0.0,2018-01-01,R_A2,15,30,302.43145751953125
16,0.9657251834869385,302.5653381347656,STANDARD,22,0,1669.11572265625,0.0,2018-01-01,R_A2,16,30,302.5653381347656
17,0.9631093144416809,302.69921875,STANDARD,22,0,1671.111572265625,0.0,2018-01-01,R_A2,17,30,302.69921875
18,0.9844205975532532,302.8251037597656,STANDARD,22,0,1672.9881591796875,0.0,2018-01-01,R_A2,18,30,302.8251037597656
18,0.994062066078186,302.9084167480469,STANDARD,22,0,1674.229736328125,0.0,2018-01-01,R_A2,19,29,302.9084167480469
27,1.0,303.0384216308594,STANDARD,22,0,1676.1676025390625,0.0,2018-01-01,R_A2,20,29,303.0384216308594
28,1.0,303.47802734375,STANDARD,22,0,1677.9368896484375,0.0,2018-01-01,R_A2,21,29,303.47802734375
29,1.0,303.64569091796875,STANDARD,22,0,1679.7061767578125,0.0,2018-01-01,R_A2,22,29,303.64569091796875
30,1.0,303.8133544921875,STANDARD,22,0,1681.4754638671875,0.0,2018-01-01,R_A2,23,29,303.8133544921875
31,1.0,303.98101806640625,STANDARD,22,0,1683.2447509765625,0.0,2018-01-01,R_A2,24,29,303.98101806640625
1,0.6481541991233826,298.5508728027344,STANDARD,28,0,1609.243408203125,0.0,2018-01-01,R_A3,1,41,298.5508728027344
2,0.19303742051124573,298.689208984375,STANDARD,28,0,1611.3077392578125,0.0,2018-01-01,R_A3,2,41,298.689208984375
3,0.19390200078487396,298.82757568359375,STANDARD,28,0,1613.3720703125,0.0,2018-01-01,R_A3,3,41,298.82757568359375
4,0.249529168009758,298.9659118652344,STANDARD,28,0,1615.4365234375,0.0,2018-01-01,R_A3,4,41,298.9659118652344
5,0.6481541991233826,299.1042785644531,STANDARD,28,0,1617.5008544921875,0.0,2018-01-01,R_A3,5,41,299.1042785644531
6,0.1495143622159958,299.2426452636719,STANDARD,28,0,1619.565185546875,0.0,2018-01-01,R_A3,6,41,299.2426452636719
6,0.2750019431114197,298.5591125488281,STANDARD,29,0,1609.3663330078125,0.0,2018-01-01,R_A3,7,41,298.5591125488281
7,0.1984008252620697,298.6965026855469,STANDARD,29,0,1611.4163818359375,0.0,2018-01-01,R_A3,8,41,298.6965026855469
8,0.14574061334133148,298.8338928222656,STANDARD,29,0,1613.46630859375,0.0,2018-01-01,R_A3,9,41,298.8338928222656
9,0.6481541991233826,298.9712829589844,STANDARD,29,0,1615.516357421875,0.0,2018-01-01,R_A3,10,41,298.9712829589844
10,0.8022641539573669,299.1086730957031,STANDARD,29,0,1617.5662841796875,0.0,2018-01-01,R_A3,11,41,299.1086730957031
11,0.04813428223133087,299.2550964355469,STANDARD,29,0,1619.750732421875,0.0,2018-01-01,R_A3,12,41,299.2550964355469
12,0.05368484556674957,299.4105224609375,STANDARD,29,0,1622.0697021484375,0.0,2018-01-01,R_A3,13,41,299.4105224609375
13,0.3719004690647125,299.56597900390625,STANDARD,29,0,1624.388671875,0.0,2018-01-01,R_A3,14,41,299.56597900390625
14,0.34493958950042725,299.721435546875,STANDARD,29,0,1626.707763671875,0.0,2018-01-01,R_A3,15,41,299.721435546875
15,0.49252498149871826,299.87689208984375,STANDARD,29,0,1629.026611328125,0.0,2018-01-01,R_A3,16,41,299.87689208984375
16,0.8009259700775146,300.005615234375,STANDARD,29,0,1630.9468994140625,0.0,2018-01-01,R_A3,17,41,300.005615234375
27,0.6481541991233826,300.1785583496094,STANDARD,29,0,1633.5262451171875,0.0,2018-01-01,R_A3,18,41,300.1785583496094
28,0.04558901488780975,300.4223937988281,STANDARD,29,0,1637.1630859375,0.0,2018-01-01,R_A3,19,41,300.4223937988281
29,0.051980599761009216,300.666259765625,STANDARD,29,0,1640.8001708984375,0.0,2018-01-01,R_A3,20,41,300.666259765625
30,0.6481541991233826,300.9101257324219,STANDARD,29,0,1644.4371337890625,0.0,2018-01-01,R_A3,21,41,300.9101257324219
31,0.0608343705534935,301.1540222167969,STANDARD,29,0,1648.0740966796875,0.0,2018-01-01,R_A3,22,41,301.1540222167969
1,0.05155180022120476,300.0217590332031,STANDARD,30,0,1631.1873779296875,0.0,2018-01-01,R_A4,1,52,300.0217590332031
1,0.05047132447361946,299.7698059082031,STANDARD,31,0,1627.4293212890625,0.0,2018-01-01,R_A4,2,52,299.7698059082031
2,0.05136675387620926,299.9079284667969,STANDARD,31,0,1629.4896240234375,0.0,2018-01-01,R_A4,3,52,299.9079284667969
3,0.053248338401317596,300.0460510253906,STANDARD,31,0,1631.5498046875,0.0,2018-01-01,R_A4,4,52,300.0460510253906
4,0.6481541991233826,300.1841735839844,STANDARD,31,0,1633.610107421875,0.0,2018-01-01,R_A4,5,52,300.1841735839844
4,0.05687118321657181,300.10284423828125,STANDARD,32,0,1632.3968505859375,0.0,2018-01-01,R_A4,6,52,300.10284423828125
4,0.6481541991233826,300.3363952636719,STANDARD,32,0,1635.880615234375,0.0,2018-01-01,R_A4,7,51,300.3363952636719
4,0.6481541991233826,300.4329833984375,STANDARD,33,0,1637.321044921875,0.0,2018-01-01,R_A4,8,51,300.4329833984375
3,0.05917602404952049,300.3091735839844,STANDARD,33,0,1635.474609375,0.0,2018-01-01,R_A4,9,51,300.3091735839844
4,0.6481541991233826,300.7566833496094,STANDARD,33,0,1642.1485595703125,0.0,2018-01-01,R_A4,10,50,300.7566833496094
4,0.09838350862264633,300.6885070800781,STANDARD,34,0,1641.132080078125,0.0,2018-01-01,R_A4,11,50,300.6885070800781
3,0.15416403114795685,300.5594177246094,STANDARD,34,0,1639.20703125,0.0,2018-01-01,R_A4,12,50,300.5594177246094
3,0.22844639420509338,300.6733703613281,STANDARD,35,0,1640.9061279296875,0.0,2018-01-01,R_A4,13,50,300.6733703613281
2,0.22801055014133453,300.54840087890625,STANDARD,35,0,1639.0426025390625,0.0,2018-01-01,R_A4,14,50,300.54840087890625
2,0.24014489352703094,300.7421569824219,STANDARD,35,0,1641.93212890625,0.0,2018-01-01,R_A4,15,49,300.7421569824219
30,0.05140700936317444,300.77069091796875,STANDARD,36,0,1642.357421875,0.0,2018-01-01,R_A4,16,49,300.77069091796875
30,0.1945064216852188,300.58624267578125,STANDARD,36,0,1639.6068115234375,0.0,2018-01-01,R_A4,17,48,300.58624267578125
30,0.0980994775891304,301.0653076171875,STANDARD,37,0,1646.7513427734375,0.0,2018-01-01,R_A4,18,48,301.0653076171875
30,0.10140533000230789,301.51531982421875,STANDARD,38,0,1653.461669921875,0.0,2018-01-01,R_A4,19,48,301.51531982421875
30,0.11350402235984802,301.8075256347656,STANDARD,38,0,1657.8184814453125,0.0,2018-01-01,R_A4,20,47,301.8075256347656
1,1.0,303.8440856933594,STANDARD,31,0,1685.026611328125,0.0,2018-01-01,R_A5,1,20,303.8440856933594
2,1.0,304.0601806640625,STANDARD,31,0,1687.3070068359375,0.0,2018-01-01,R_A5,2,20,304.0601806640625
3,1.0,304.58209228515625,STANDARD,31,0,1689.5875244140625,0.0,2018-01-01,R_A5,3,20,304.58209228515625
4,1.0,304.4924011230469,STANDARD,31,0,1691.8680419921875,0.0,2018-01-01,R_A5,4,20,304.4924011230469
5,1.0,304.7085266113281,STANDARD,31,0,1694.1485595703125,0.0,2018-01-01,R_A5,5,20,304.7085266113281
6,1.0,304.9246520996094,STANDARD,31,0,1696.4290771484375,0.0,2018-01-01,R_A5,6,20,304.9246520996094
7,1.0,305.446533203125,STANDARD,31,0,1698.70947265625,0.0,2018-01-01,R_A5,7,20,305.446533203125
