ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4926419,918737,706630,492769,69381829
Valysar,CentralSouth,61184718,11859372,8696488,6064496,853881124
Valysar,CentralNorth,33768167,6032036,4539876,3165883,445756355
Valysar,NorthHorst,3897668,441489,197394,121250,23752800
Valysar,CentralRamp,13746446,2193694,1557487,1086114,152924801
Valysar,CentralHorst,84211432,15839497,12559208,8758165,1233149624
Valysar,EastLowland,291997,61869,27364,19082,2686783
Therys,WestLowland,2204974,446020,233992,163174,22974922
Therys,CentralSouth,8509767,1852630,1153895,804669,113297399
Therys,CentralNorth,17892034,3591340,2109043,1470741,207080398
Therys,NorthHorst,6672692,983126,414769,254772,49909805
Therys,CentralRamp,6770890,1622820,1223932,853509,120174080
Therys,CentralHorst,27574431,6561660,5006309,3491150,491553899
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,254401,52466,36338,25340,3567938
Volon,CentralSouth,27270599,4705295,3386161,2361340,332476681
Volon,CentralNorth,4255111,439737,118251,82462,11610655
Volon,NorthHorst,4876814,804790,558190,342868,67167892
Volon,CentralRamp,11793434,2265849,1874319,1307057,184033599
Volon,CentralHorst,78114293,14488538,11886676,8289174,1167115768
Volon,EastLowland,0,0,0,0,0
