FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WIIP_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATPV_TOTAL,HCPV_GAS,HCPV_TOTAL,REGION,ZONE
1,345978.0,0.0,345978.0,82268265.0,0.0,48720591.0,48720591.0,85567515.0,496250.0,85071265.0,0.0,496250.0,WestLowland,Valysar
2,6098115.0,0.0,6098115.0,14445054.0,0.0,858736608.0,858736608.0,23681835.0,8743479.0,14938356.0,0.0,8743479.0,CentralSouth,Valysar
3,2401501.0,0.0,2401501.0,12531537.0,0.0,338179426.0,338179426.0,16401996.0,3443473.0,12958524.0,0.0,3443473.0,CentralNorth,Valysar
4,114977.0,67751.0,182728.0,3258210.0,441900178.0,22527396.0,464427574.0,5459617.0,187229.0,3369954.0,1902434.0,2089663.0,NorthHorst,Valysar
5,1105797.0,0.0,1105797.0,664933.0,-0.0,155718375.0,155718375.0,2274051.0,1586211.0,687840.0,0.0,1586211.0,CentralRamp,Valysar
6,7645656.0,0.0,7645656.0,6622986.0,0.0,1076661301.0,1076661301.0,17819560.0,10969219.0,6850341.0,0.0,10969219.0,CentralHorst,Valysar
7,11352.0,0.0,11352.0,36171796.0,0.0,1598632.0,1598632.0,37407533.0,16277.0,37391256.0,0.0,16277.0,EastLowland,Valysar
8,143035.0,0.0,143035.0,110233207.0,0.0,20142195.0,20142195.0,114192572.0,205126.0,113987446.0,0.0,205126.0,WestLowland,Therys
9,557098.0,0.0,557098.0,5841583.0,0.0,78450581.0,78450581.0,6840089.0,798637.0,6041452.0,0.0,798637.0,CentralSouth,Therys
10,1074708.0,0.0,1074708.0,12315730.0,-0.0,151340330.0,151340330.0,14275595.0,1540723.0,12734872.0,0.0,1540723.0,CentralNorth,Therys
11,231648.0,66076.0,297724.0,4064202.0,428854468.0,45386572.0,474241040.0,6425338.0,377213.0,4203377.0,1844748.0,2221961.0,NorthHorst,Therys
12,737003.0,0.0,737003.0,357551.0,0.0,103784727.0,103784727.0,1426793.0,1056945.0,369848.0,0.0,1056945.0,CentralRamp,Therys
13,3432946.0,0.0,3432946.0,4831592.0,-0.0,483427514.0,483427514.0,9921521.0,4924574.0,4996946.0,0.0,4924574.0,CentralHorst,Therys
14,0.0,0.0,0.0,18067683.0,0.0,0.0,0.0,18672597.0,0.0,18672597.0,0.0,0.0,EastLowland,Therys
15,5539.0,0.0,5539.0,79728177.0,-0.0,780056.0,780056.0,82440697.0,7943.0,82432754.0,0.0,7943.0,WestLowland,Volon
16,1601044.0,0.0,1601044.0,35594540.0,0.0,225458960.0,225458960.0,39101691.0,2295142.0,36806549.0,0.0,2295142.0,CentralSouth,Volon
17,176662.0,0.0,176662.0,6214618.0,0.0,24877568.0,24877568.0,6679249.0,253241.0,6426008.0,0.0,253241.0,CentralNorth,Volon
18,416408.0,15470.0,431878.0,1673836.0,100026811.0,81586511.0,181613322.0,2839135.0,678090.0,1731046.0,430000.0,1108089.0,NorthHorst,Volon
19,1029137.0,0.0,1029137.0,1059426.0,0.0,144923109.0,144923109.0,2571250.0,1475498.0,1095752.0,0.0,1475498.0,CentralRamp,Volon
20,6943446.0,0.0,6943446.0,8623807.0,-0.0,977776092.0,977776092.0,18877315.0,9958286.0,8919029.0,0.0,9958286.0,CentralHorst,Volon
21,0.0,0.0,0.0,32500193.0,0.0,0.0,0.0,33597086.0,0.0,33597086.0,0.0,0.0,EastLowland,Volon
