CONIDX,SGAS,SWAT,PRESSURE,CONKPOS,DRAWDOWN,WELLMODEL,DEPTH,WELL,CONJPOS,CONIPOS,CONBPRES,DATE
1,0.0,0.055880606174468994,300.6733093261719,1,0,STANDARD,1641.094970703125,R_A2,30,22,300.6733093261719,2018-01-01
2,0.0,0.05794878676533699,300.7936096191406,2,0,STANDARD,1642.8890380859375,R_A2,30,22,300.7936096191406,2018-01-01
3,0.0,0.06058797240257263,300.9139099121094,3,0,STANDARD,1644.68310546875,R_A2,30,22,300.9139099121094,2018-01-01
4,0.0,0.0678098052740097,301.0342102050781,4,0,STANDARD,1646.4771728515625,R_A2,30,22,301.0342102050781,2018-01-01
5,0.0,0.07152793556451797,301.1545104980469,5,0,STANDARD,1648.2713623046875,R_A2,30,22,301.1545104980469,2018-01-01
6,0.0,0.14327770471572876,301.27484130859375,6,0,STANDARD,1650.0654296875,R_A2,30,22,301.27484130859375,2018-01-01
7,0.0,0.2598637044429779,301.3951721191406,7,0,STANDARD,1651.859619140625,R_A2,30,22,301.3951721191406,2018-01-01
8,0.0,0.6481541991233826,301.5154724121094,8,0,STANDARD,1653.6536865234375,R_A2,30,22,301.5154724121094,2018-01-01
9,0.0,0.6481541991233826,301.63580322265625,9,0,STANDARD,1655.44775390625,R_A2,30,22,301.63580322265625,2018-01-01
10,0.0,0.9135551452636719,301.7561340332031,10,0,STANDARD,1657.2418212890625,R_A2,30,22,301.7561340332031,2018-01-01
11,0.0,0.07876349240541458,301.88323974609375,11,0,STANDARD,1659.1368408203125,R_A2,30,22,301.88323974609375,2018-01-01
12,0.0,0.0862409919500351,302.01708984375,12,0,STANDARD,1661.132568359375,R_A2,30,22,302.01708984375,2018-01-01
13,0.0,0.4577699303627014,302.1509704589844,13,0,STANDARD,1663.12841796875,R_A2,30,22,302.1509704589844,2018-01-01
14,0.0,0.519985556602478,302.28485107421875,14,0,STANDARD,1665.1241455078125,R_A2,30,22,302.28485107421875,2018-01-01
15,0.0,0.6918675303459167,302.4187316894531,15,0,STANDARD,1667.1199951171875,R_A2,30,22,302.4187316894531,2018-01-01
16,0.0,0.9727101922035217,302.5526123046875,16,0,STANDARD,1669.11572265625,R_A2,30,22,302.5526123046875,2018-01-01
17,0.0,0.9494145512580872,302.6864929199219,17,0,STANDARD,1671.111572265625,R_A2,30,22,302.6864929199219,2018-01-01
18,0.0,0.9820622205734253,302.8123779296875,18,0,STANDARD,1672.9881591796875,R_A2,30,22,302.8123779296875,2018-01-01
19,0.0,0.9921741485595703,302.89569091796875,18,0,STANDARD,1674.229736328125,R_A2,29,22,302.89569091796875,2018-01-01
20,0.0,1.0,302.963134765625,19,0,STANDARD,1675.235107421875,R_A2,29,22,302.963134765625,2018-01-01
21,0.0,0.4947701394557953,303.02569580078125,27,0,STANDARD,1676.1676025390625,R_A2,29,22,303.02569580078125,2018-01-01
22,0.0,1.0,303.47802734375,28,0,STANDARD,1677.9368896484375,R_A2,29,22,303.47802734375,2018-01-01
23,0.0,1.0,303.64569091796875,29,0,STANDARD,1679.7061767578125,R_A2,29,22,303.64569091796875,2018-01-01
24,0.0,1.0,303.8133544921875,30,0,STANDARD,1681.4754638671875,R_A2,29,22,303.8133544921875,2018-01-01
25,0.0,1.0,303.98101806640625,31,0,STANDARD,1683.2447509765625,R_A2,29,22,303.98101806640625,2018-01-01
1,0.0,0.30849525332450867,298.53814697265625,1,0,STANDARD,1609.243408203125,R_A3,41,28,298.53814697265625,2018-01-01
