DEPTH,PRESSURE,WELLMODEL,CONIDX,DATE,DRAWDOWN,CONIPOS,CONKPOS,CONJPOS,CONBPRES,SWAT,WELL,SGAS
1641.094970703125,300.6733093261719,STANDARD,1,2018-01-01,0,22,1,30,300.6733093261719,0.05673010274767876,R_A2,0.0
1642.8890380859375,300.7936096191406,STANDARD,2,2018-01-01,0,22,2,30,300.7936096191406,0.05777252838015556,R_A2,0.0
1644.68310546875,300.9139099121094,STANDARD,3,2018-01-01,0,22,3,30,300.9139099121094,0.060030754655599594,R_A2,0.0
1646.4771728515625,301.0342102050781,STANDARD,4,2018-01-01,0,22,4,30,301.0342102050781,0.06766234338283539,R_A2,0.0
1648.2713623046875,301.1545104980469,STANDARD,5,2018-01-01,0,22,5,30,301.1545104980469,0.06880508363246918,R_A2,0.0
1650.0654296875,301.27484130859375,STANDARD,6,2018-01-01,0,22,6,30,301.27484130859375,0.31025803089141846,R_A2,0.0
1651.859619140625,301.3951721191406,STANDARD,7,2018-01-01,0,22,7,30,301.3951721191406,0.891412079334259,R_A2,0.0
1653.6536865234375,301.5154724121094,STANDARD,8,2018-01-01,0,22,8,30,301.5154724121094,0.8774909377098083,R_A2,0.0
1655.44775390625,301.63580322265625,STANDARD,9,2018-01-01,0,22,9,30,301.63580322265625,0.9038383364677429,R_A2,0.0
1657.2418212890625,301.7561340332031,STANDARD,10,2018-01-01,0,22,10,30,301.7561340332031,0.9149646162986755,R_A2,0.0
1659.1368408203125,301.88323974609375,STANDARD,11,2018-01-01,0,22,11,30,301.88323974609375,0.07614300400018692,R_A2,0.0
1661.132568359375,302.01708984375,STANDARD,12,2018-01-01,0,22,12,30,302.01708984375,0.07716154307126999,R_A2,0.0
1663.12841796875,302.1509704589844,STANDARD,13,2018-01-01,0,22,13,30,302.1509704589844,0.4616602957248688,R_A2,0.0
1665.1241455078125,302.28485107421875,STANDARD,14,2018-01-01,0,22,14,30,302.28485107421875,0.5056487321853638,R_A2,0.0
1667.1199951171875,302.4187316894531,STANDARD,15,2018-01-01,0,22,15,30,302.4187316894531,0.6890329718589783,R_A2,0.0
1669.11572265625,302.5526123046875,STANDARD,16,2018-01-01,0,22,16,30,302.5526123046875,0.9704177379608154,R_A2,0.0
1671.111572265625,302.6864929199219,STANDARD,17,2018-01-01,0,22,17,30,302.6864929199219,0.949622392654419,R_A2,0.0
1672.9881591796875,302.8123779296875,STANDARD,18,2018-01-01,0,22,18,30,302.8123779296875,0.9828952550888062,R_A2,0.0
1674.229736328125,302.89569091796875,STANDARD,19,2018-01-01,0,22,18,29,302.89569091796875,0.9966256022453308,R_A2,0.0
1676.1676025390625,303.02569580078125,STANDARD,20,2018-01-01,0,22,27,29,303.02569580078125,1.0,R_A2,0.0
1677.9368896484375,303.47802734375,STANDARD,21,2018-01-01,0,22,28,29,303.47802734375,1.0,R_A2,0.0
1679.7061767578125,303.64569091796875,STANDARD,22,2018-01-01,0,22,29,29,303.64569091796875,1.0,R_A2,0.0
1681.4754638671875,303.8133544921875,STANDARD,23,2018-01-01,0,22,30,29,303.8133544921875,1.0,R_A2,0.0
1683.2447509765625,303.98101806640625,STANDARD,24,2018-01-01,0,22,31,29,303.98101806640625,1.0,R_A2,0.0
1609.243408203125,298.53814697265625,STANDARD,1,2018-01-01,0,28,1,41,298.53814697265625,0.6481541991233826,R_A3,0.0
1611.3077392578125,298.676513671875,STANDARD,2,2018-01-01,0,28,2,41,298.676513671875,0.19717952609062195,R_A3,0.0
1613.3720703125,298.8148498535156,STANDARD,3,2018-01-01,0,28,3,41,298.8148498535156,0.15042813122272491,R_A3,0.0
1615.4365234375,298.9532165527344,STANDARD,4,2018-01-01,0,28,4,41,298.9532165527344,0.6481541991233826,R_A3,0.0
1617.5008544921875,299.0915832519531,STANDARD,5,2018-01-01,0,28,5,41,299.0915832519531,0.8328844904899597,R_A3,0.0
1619.565185546875,299.2299499511719,STANDARD,6,2018-01-01,0,28,6,41,299.2299499511719,0.6481541991233826,R_A3,0.0
1609.3663330078125,298.54638671875,STANDARD,7,2018-01-01,0,29,6,41,298.54638671875,0.6481541991233826,R_A3,0.0
1611.4163818359375,298.68377685546875,STANDARD,8,2018-01-01,0,29,7,41,298.68377685546875,0.19782783091068268,R_A3,0.0
