WELL,I,J,K1,K2,OP/SH,SATN,TRAN,WBDIA,KH,SKIN,DFACT,DIR,PEQVR,DATE
R_A2,22,30,1,1,OPEN,0,13.3630855,0.2413,1338.94684,0.0,,Z,25.8781517,2018-01-01
R_A2,22,30,2,2,OPEN,0,11.3530545,0.2413,1145.20161,0.0,,Z,26.8300594,2018-01-01
R_A2,22,30,3,3,OPEN,0,15.6701824,0.2413,1580.1113,0.0,,Z,26.7781674,2018-01-01
R_A2,22,30,4,4,OPEN,0,14.5573047,0.2413,1468.64473,0.0,,Z,26.8522887,2018-01-01
R_A2,22,30,5,5,OPEN,0,10.8999619,0.2413,1099.17963,0.0,,Z,26.7881839,2018-01-01
R_A2,22,30,6,6,OPEN,0,10.4913506,0.2413,1055.91752,0.0,,Z,26.5082947,2018-01-01
R_A2,22,30,7,7,OPEN,0,2.08429279,0.2413,211.402839,0.0,,Z,27.6398003,2018-01-01
R_A2,22,30,8,8,OPEN,0,3.39667166,0.2413,276.799029,0.0,,Z,9.49895079,2018-01-01
R_A2,22,30,9,9,OPEN,0,10.5280274,0.2413,1061.01593,0.0,,Z,26.6987836,2018-01-01
R_A2,22,30,10,10,OPEN,0,2.08064478,0.2413,166.988359,0.0,,Z,8.89159819,2018-01-01
R_A2,22,30,11,11,OPEN,0,33.1447034,0.2413,3330.05644,0.0,,Z,26.2591768,2018-01-01
R_A2,22,30,12,12,OPEN,0,22.1226376,0.2413,1732.69808,0.0,,Z,8.01571736,2018-01-01
R_A2,22,30,13,13,OPEN,0,0.40971232,0.2413,41.0691542,0.0,,Z,25.9358517,2018-01-01
R_A2,22,30,14,14,OPEN,0,0.3640256,0.2413,36.5301669,0.0,,Z,26.0913123,2018-01-01
R_A2,22,30,15,15,OPEN,0,0.12899174,0.2413,12.7212392,0.0,,Z,23.7816855,2018-01-01
R_A2,22,30,16,16,OPEN,0,0.0331898,0.2413,3.30265224,0.0,,Z,24.9397649,2018-01-01
R_A2,22,30,17,17,OPEN,0,0.04144006,0.2413,4.11914772,0.0,,Z,24.7959957,2018-01-01
R_A2,22,30,18,18,OPEN,0,0.01980146,0.2413,1.96824782,0.0,,Z,24.7946431,2018-01-01
R_A2,22,29,18,18,OPEN,0,0.01507538,0.2413,1.49879702,0.0,,Z,24.8226053,2018-01-01
R_A2,22,29,19,19,OPEN,0,0.00019914,0.2413,0.01995844,0.0,,Z,25.9144276,2018-01-01
R_A2,22,29,27,27,OPEN,0,13.7537877,0.2413,571.547352,0.0,,Z,1.11801805,2018-01-01
R_A2,22,29,28,28,OPEN,0,1.4377e-05,0.2413,0.00139024,0.0,,Z,21.458715,2018-01-01
R_A2,22,29,29,29,OPEN,0,1.4391e-05,0.2413,0.00139084,0.0,,Z,21.3982679,2018-01-01
R_A2,22,29,30,30,OPEN,0,1.4407e-05,0.2413,0.00139163,0.0,,Z,21.3378328,2018-01-01
R_A2,22,29,31,31,OPEN,0,1.4419e-05,0.2413,0.00139208,0.0,,Z,21.2774052,2018-01-01
R_A3,28,41,1,1,OPEN,0,6.12787257,0.2413,611.470427,0.0,,Z,25.3127468,2018-01-01
R_A3,28,41,2,2,OPEN,0,6.51254009,0.2413,652.746174,0.0,,Z,25.9221272,2018-01-01
R_A3,28,41,3,3,OPEN,0,7.72748726,0.2413,774.200521,0.0,,Z,25.8649047,2018-01-01
R_A3,28,41,4,4,OPEN,0,1.99711945,0.2413,195.558127,0.0,,Z,22.9057193,2018-01-01
R_A3,28,41,5,5,OPEN,0,1.90793581,0.2413,192.137532,0.0,,Z,26.5906825,2018-01-01
R_A3,28,41,6,6,OPEN,0,0.18858168,0.2413,18.393258,0.0,,Z,22.4376109,2018-01-01
R_A3,29,41,6,6,OPEN,0,0.72652828,0.2413,59.6965581,0.0,,Z,9.84908957,2018-01-01
R_A3,29,41,7,7,OPEN,0,1.369167,0.2413,135.292607,0.0,,Z,24.0291822,2018-01-01
R_A3,29,41,8,8,OPEN,0,1.42037666,0.2413,140.32214,0.0,,Z,24.0013813,2018-01-01
R_A3,29,41,9,9,OPEN,0,0.24006243,0.2413,21.1429581,0.0,,Z,13.514957,2018-01-01
R_A3,29,41,10,10,OPEN,0,0.00842383,0.2413,0.66857738,0.0,,Z,8.47730269,2018-01-01
R_A3,29,41,11,11,OPEN,0,13.6121361,0.2413,1342.47405,0.0,,Z,23.7851912,2018-01-01
R_A3,29,41,12,12,OPEN,0,15.4875109,0.2413,1538.92683,0.0,,Z,24.7502526,2018-01-01
R_A3,29,41,13,13,OPEN,0,0.25572187,0.2413,25.4628484,0.0,,Z,25.0259561,2018-01-01
R_A3,29,41,14,14,OPEN,0,0.06420817,0.2413,5.1014563,0.0,,Z,8.51573371,2018-01-01
R_A3,29,41,15,15,OPEN,0,0.17391833,0.2413,16.6307337,0.0,,Z,20.2541356,2018-01-01
R_A3,29,41,16,16,OPEN,0,0.01047436,0.2413,1.0336367,0.0,,Z,23.8608029,2018-01-01
R_A3,29,41,27,27,OPEN,0,4.72807177,0.2413,373.476328,0.0,,Z,8.30817076,2018-01-01
R_A3,29,41,28,28,OPEN,0,101.874568,0.2413,10123.462,0.0,,Z,24.7584258,2018-01-01
R_A3,29,41,29,29,OPEN,0,37.2356687,0.2413,3670.3031,0.0,,Z,23.7167686,2018-01-01
R_A3,29,41,30,30,OPEN,0,2.5485e-05,0.2413,0.00242619,0.0,,Z,19.7987524,2018-01-01
R_A3,29,41,31,31,OPEN,0,30.6391958,0.2413,3046.42502,0.0,,Z,24.8343972,2018-01-01
R_A4,30,52,1,1,OPEN,0,220.308268,0.2413,20911.3839,0.0,,X,19.5033002,2018-01-01
R_A4,31,52,1,1,OPEN,0,367.838315,0.2413,34920.1254,0.0,,X,19.5185748,2018-01-01
R_A4,31,52,2,2,OPEN,0,786.596537,0.2413,74677.0776,0.0,,X,19.5223363,2018-01-01
R_A4,31,52,3,3,OPEN,0,603.792183,0.2413,57280.6965,0.0,,X,19.4505905,2018-01-01
R_A4,31,52,4,4,OPEN,0,87.7480489,0.2413,8329.54195,0.0,,X,19.5105351,2018-01-01
R_A4,32,52,4,4,OPEN,0,548.30614,0.2413,51920.4845,0.0,,X,19.2683303,2018-01-01
R_A4,32,51,4,4,OPEN,0,692.862165,0.2413,64944.6719,0.0,,X,18.3037047,2018-01-01
R_A4,33,51,4,4,OPEN,0,353.426172,0.2413,33120.6859,0.0,,X,18.2833854,2018-01-01
R_A4,33,51,3,3,OPEN,0,808.273996,0.2413,75759.2575,0.0,,X,18.2995615,2018-01-01
R_A4,33,50,4,4,OPEN,0,0.85675171,0.2413,35.8541707,0.0,,X,1.13572727,2018-01-01
R_A4,34,50,4,4,OPEN,0,0.74018496,0.2413,32.0228856,0.0,,X,1.22513607,2018-01-01
R_A4,34,50,3,3,OPEN,0,401.512531,0.2413,36752.1415,0.0,,X,16.268852,2018-01-01
R_A4,35,50,3,3,OPEN,0,47.9079157,0.2413,4369.14888,0.0,,X,15.9791688,2018-01-01
R_A4,35,50,2,2,OPEN,0,11.9477925,0.2413,1088.92299,0.0,,X,15.9289132,2018-01-01
R_A4,35,49,2,2,OPEN,0,82.4203974,0.2413,7525.39249,0.0,,X,16.0702473,2018-01-01
R_A4,36,49,30,30,OPEN,0,22.6381332,0.2413,1372.76819,0.0,,X,3.10811965,2018-01-01
R_A4,36,48,30,30,OPEN,0,9.95149386,0.2413,609.013751,0.0,,X,3.2025432,2018-01-01
R_A4,37,48,30,30,OPEN,0,65.1826981,0.2413,3360.84714,0.0,,X,1.91091493,2018-01-01
R_A4,38,48,30,30,OPEN,0,34.2606338,0.2413,1677.5405,0.0,,X,1.66275979,2018-01-01
R_A4,38,47,30,30,OPEN,0,300.566551,0.2413,27336.2943,0.0,,X,15.7668464,2018-01-01
R_A5,31,20,1,1,OPEN,0,20.8009894,0.2413,2053.71809,0.0,,Z,23.9237699,2018-01-01
R_A5,31,20,2,2,OPEN,0,21.9804048,0.2413,2171.88435,0.0,,Z,24.0243103,2018-01-01
R_A5,31,20,3,3,OPEN,0,23.5742692,0.2413,2330.7762,0.0,,Z,24.1009843,2018-01-01
R_A5,31,20,4,4,OPEN,0,25.8569718,0.2413,2558.76472,0.0,,Z,24.2160592,2018-01-01
R_A5,31,20,5,5,OPEN,0,19.0330662,0.2413,1884.9688,0.0,,Z,24.3176292,2018-01-01
R_A5,31,20,6,6,OPEN,0,16.4717049,0.2413,1632.5448,0.0,,Z,24.4162511,2018-01-01
R_A5,31,20,7,7,OPEN,0,0.01063641,0.2413,0.99906503,0.0,,Z,18.4958094,2018-01-01
R_A5,31,20,8,8,OPEN,0,1.7481e-05,0.2413,0.00165581,0.0,,Z,19.2968402,2018-01-01
R_A5,31,20,9,9,OPEN,0,1.7536e-05,0.2413,0.00166222,0.0,,Z,19.3687067,2018-01-01
R_A5,31,20,10,10,OPEN,0,1.7592e-05,0.2413,0.00166879,0.0,,Z,19.4410458,2018-01-01
R_A5,31,20,11,11,OPEN,0,19.7327019,0.2413,1960.39193,0.0,,Z,24.7259961,2018-01-01
R_A5,31,20,12,12,OPEN,0,6.51011071,0.2413,648.011228,0.0,,Z,24.9814426,2018-01-01
R_A5,31,21,12,12,OPEN,0,16.7880473,0.2413,1680.76754,0.0,,Z,25.7667618,2018-01-01
R_A5,31,21,13,13,OPEN,0,0.6543815,0.2413,65.820788,0.0,,Z,26.4207434,2018-01-01
R_A5,31,21,14,14,OPEN,0,1.09209633,0.2413,109.934424,0.0,,Z,26.5327177,2018-01-01
R_A5,31,21,15,15,OPEN,0,0.09381699,0.2413,7.49234506,0.0,,Z,8.70460812,2018-01-01
R_A5,31,21,16,16,OPEN,0,0.18793956,0.2413,17.3636128,0.0,,Z,17.0315339,2018-01-01
R_A5,31,21,17,17,OPEN,0,0.01949524,0.2413,1.94909698,0.0,,Z,25.5758309,2018-01-01
R_A5,31,21,18,18,OPEN,0,0.02826772,0.2413,2.82757314,0.0,,Z,25.64477,2018-01-01
R_A5,31,21,19,19,OPEN,0,0.00206997,0.2413,0.20704008,0.0,,Z,25.6344939,2018-01-01
R_A5,31,21,27,27,OPEN,0,12.3557172,0.2413,1047.19248,0.0,,Z,11.313218,2018-01-01
R_A5,31,21,28,28,OPEN,0,23.5548152,0.2413,2354.61408,0.0,,Z,25.5553906,2018-01-01
R_A5,31,21,29,29,OPEN,0,1.6381e-05,0.2413,0.00158013,0.0,,Z,21.1861268,2018-01-01
R_A5,31,21,30,30,OPEN,0,0.00326482,0.2413,0.25450411,0.0,,Z,7.85885789,2018-01-01
R_A5,31,21,31,31,OPEN,0,1.6542e-05,0.2413,0.00159805,0.0,,Z,21.3449639,2018-01-01
R_A6,17,42,1,1,OPEN,0,0.01990124,0.2413,2.03333216,0.0,,Z,28.7645685,2018-01-01
R_A6,17,42,2,2,OPEN,0,0.0115928,0.2413,1.1838822,0.0,,Z,28.6892347,2018-01-01
R_A6,17,42,3,3,OPEN,0,0.00762971,0.2413,0.77927865,0.0,,Z,28.7125168,2018-01-01
R_A6,17,42,4,4,OPEN,0,0.00647851,0.2413,0.66154714,0.0,,Z,28.6767131,2018-01-01
R_A6,17,42,5,5,OPEN,0,0.01114495,0.2413,1.13782317,0.0,,Z,28.6445844,2018-01-01
R_A6,17,42,6,6,OPEN,0,0.61110324,0.2413,61.0795477,0.0,,Z,25.5368646,2018-01-01
R_A6,17,42,7,7,OPEN,0,1.30451477,0.2413,133.686482,0.0,,Z,29.2442797,2018-01-01
R_A6,17,42,8,8,OPEN,0,0.88477618,0.2413,88.632337,0.0,,Z,25.8468875,2018-01-01
R_A6,17,42,9,9,OPEN,0,0.02589196,0.2413,2.6415854,0.0,,Z,28.5377536,2018-01-01
R_A6,17,42,10,10,OPEN,0,8.53164266,0.2413,785.367821,0.0,,Z,16.7278442,2018-01-01
R_A6,17,42,11,11,OPEN,0,33.4793129,0.2413,3430.89811,0.0,,Z,29.2416145,2018-01-01
