CONKPOS,CONBPRES,DATE,SWAT,PRESSURE,WELLMODEL,DEPTH,SGAS,DRAWDOWN,WELL,CONIPOS,CONJPOS,CONIDX
1,300.6733093261719,2018-01-01,0.05673010274767876,300.6733093261719,STANDARD,1641.094970703125,0.0,0,R_A2,22,30,1
2,300.7936096191406,2018-01-01,0.05777252838015556,300.7936096191406,STANDARD,1642.8890380859375,0.0,0,R_A2,22,30,2
3,300.9139099121094,2018-01-01,0.060030754655599594,300.9139099121094,STANDARD,1644.68310546875,0.0,0,R_A2,22,30,3
4,301.0342102050781,2018-01-01,0.06766234338283539,301.0342102050781,STANDARD,1646.4771728515625,0.0,0,R_A2,22,30,4
5,301.1545104980469,2018-01-01,0.06880508363246918,301.1545104980469,STANDARD,1648.2713623046875,0.0,0,R_A2,22,30,5
6,301.27484130859375,2018-01-01,0.31025803089141846,301.27484130859375,STANDARD,1650.0654296875,0.0,0,R_A2,22,30,6
7,301.3951721191406,2018-01-01,0.891412079334259,301.3951721191406,STANDARD,1651.859619140625,0.0,0,R_A2,22,30,7
8,301.5154724121094,2018-01-01,0.8774909377098083,301.5154724121094,STANDARD,1653.6536865234375,0.0,0,R_A2,22,30,8
9,301.63580322265625,2018-01-01,0.9038383364677429,301.63580322265625,STANDARD,1655.44775390625,0.0,0,R_A2,22,30,9
10,301.7561340332031,2018-01-01,0.9149646162986755,301.7561340332031,STANDARD,1657.2418212890625,0.0,0,R_A2,22,30,10
11,301.88323974609375,2018-01-01,0.07614300400018692,301.88323974609375,STANDARD,1659.1368408203125,0.0,0,R_A2,22,30,11
12,302.01708984375,2018-01-01,0.07716154307126999,302.01708984375,STANDARD,1661.132568359375,0.0,0,R_A2,22,30,12
13,302.1509704589844,2018-01-01,0.4616602957248688,302.1509704589844,STANDARD,1663.12841796875,0.0,0,R_A2,22,30,13
14,302.28485107421875,2018-01-01,0.5056487321853638,302.28485107421875,STANDARD,1665.1241455078125,0.0,0,R_A2,22,30,14
15,302.4187316894531,2018-01-01,0.6890329718589783,302.4187316894531,STANDARD,1667.1199951171875,0.0,0,R_A2,22,30,15
16,302.5526123046875,2018-01-01,0.9704177379608154,302.5526123046875,STANDARD,1669.11572265625,0.0,0,R_A2,22,30,16
17,302.6864929199219,2018-01-01,0.949622392654419,302.6864929199219,STANDARD,1671.111572265625,0.0,0,R_A2,22,30,17
18,302.8123779296875,2018-01-01,0.9828952550888062,302.8123779296875,STANDARD,1672.9881591796875,0.0,0,R_A2,22,30,18
18,302.89569091796875,2018-01-01,0.9966256022453308,302.89569091796875,STANDARD,1674.229736328125,0.0,0,R_A2,22,29,19
27,303.02569580078125,2018-01-01,1.0,303.02569580078125,STANDARD,1676.1676025390625,0.0,0,R_A2,22,29,20
28,303.47802734375,2018-01-01,1.0,303.47802734375,STANDARD,1677.9368896484375,0.0,0,R_A2,22,29,21
29,303.64569091796875,2018-01-01,1.0,303.64569091796875,STANDARD,1679.7061767578125,0.0,0,R_A2,22,29,22
30,303.8133544921875,2018-01-01,1.0,303.8133544921875,STANDARD,1681.4754638671875,0.0,0,R_A2,22,29,23
31,303.98101806640625,2018-01-01,1.0,303.98101806640625,STANDARD,1683.2447509765625,0.0,0,R_A2,22,29,24
1,298.53814697265625,2018-01-01,0.6481541991233826,298.53814697265625,STANDARD,1609.243408203125,0.0,0,R_A3,28,41,1
2,298.676513671875,2018-01-01,0.19717952609062195,298.676513671875,STANDARD,1611.3077392578125,0.0,0,R_A3,28,41,2
3,298.8148498535156,2018-01-01,0.15042813122272491,298.8148498535156,STANDARD,1613.3720703125,0.0,0,R_A3,28,41,3
4,298.9532165527344,2018-01-01,0.6481541991233826,298.9532165527344,STANDARD,1615.4365234375,0.0,0,R_A3,28,41,4
5,299.0915832519531,2018-01-01,0.8328844904899597,299.0915832519531,STANDARD,1617.5008544921875,0.0,0,R_A3,28,41,5
6,299.2299499511719,2018-01-01,0.6481541991233826,299.2299499511719,STANDARD,1619.565185546875,0.0,0,R_A3,28,41,6
