Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:22:58
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       298474336.62         52169675.20         40633313.30         25555542.52
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  298474336.62         52169675.20         40633313.30         25555542.52
MidReek    1                       228563029.44         44119055.04         35805015.37         22518877.21
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  228563029.44         44119055.04         35805015.37         22518877.21
LowerReek  1                       136393914.74         28449689.99         23370623.89         14698505.35
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  136393914.74         28449689.99         23370623.89         14698505.35
Totals     1                       663431280.79        124738420.22         99808952.56         62772925.08
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  663431280.79        124738420.22         99808952.56         62772925.08
