WELL,I,J,K1,K2,OP/SH,SATN,TRAN,WBDIA,KH,SKIN,DFACT,DIR,PEQVR,DATE
R_A2,22,30,1,1,OPEN,0,22.4656724,0.2413,2268.256,0.0,,Z,26.9651511,2018-01-01
R_A2,22,30,2,2,OPEN,0,21.15575,0.2413,2134.50226,0.0,,Z,26.8631245,2018-01-01
R_A2,22,30,3,3,OPEN,0,20.0944839,0.2413,2026.07587,0.0,,Z,26.7665851,2018-01-01
R_A2,22,30,4,4,OPEN,0,14.617328,0.2413,1472.71181,0.0,,Z,26.6572893,2018-01-01
R_A2,22,30,5,5,OPEN,0,11.9593885,0.2413,1203.79575,0.0,,Z,26.5231886,2018-01-01
R_A2,22,30,6,6,OPEN,0,6.99616921,0.2413,664.181285,0.0,,Z,19.5202891,2018-01-01
R_A2,22,30,7,7,OPEN,0,0.0128708,0.2413,1.24895923,0.0,,Z,21.8485891,2018-01-01
R_A2,22,30,8,8,OPEN,0,0.00755857,0.2413,0.73219494,0.0,,Z,21.6519606,2018-01-01
R_A2,22,30,9,9,OPEN,0,0.00823287,0.2413,0.66126938,0.0,,Z,8.92147376,2018-01-01
R_A2,22,30,10,10,OPEN,0,0.00343285,0.2413,0.28232787,0.0,,Z,9.88931149,2018-01-01
R_A2,22,30,11,11,OPEN,0,26.4440913,0.2413,2647.33175,0.0,,Z,25.7579336,2018-01-01
R_A2,22,30,12,12,OPEN,0,10.9579234,0.2413,855.375908,0.0,,Z,7.90383216,2018-01-01
R_A2,22,30,13,13,OPEN,0,0.21489198,0.2413,21.5941678,0.0,,Z,26.2848438,2018-01-01
R_A2,22,30,14,14,OPEN,0,0.32240115,0.2413,32.2853941,0.0,,Z,25.7992617,2018-01-01
R_A2,22,30,15,15,OPEN,0,0.25463113,0.2413,25.488418,0.0,,Z,25.7425602,2018-01-01
R_A2,22,30,16,16,OPEN,0,0.03437635,0.2413,3.42250485,0.0,,Z,25.0091263,2018-01-01
R_A2,22,30,17,17,OPEN,0,0.02638863,0.2413,2.62439761,0.0,,Z,24.8647872,2018-01-01
R_A2,22,30,18,18,OPEN,0,0.04821417,0.2413,4.79334732,0.0,,Z,24.819507,2018-01-01
R_A2,22,30,19,19,OPEN,0,0.00983255,0.2413,0.97581257,0.0,,Z,24.5882503,2018-01-01
R_A2,22,29,25,25,OPEN,0,0.05309412,0.2413,4.05256339,0.0,,Z,7.203347,2018-01-01
R_A2,22,29,26,26,OPEN,0,0.82226712,0.2413,69.274435,0.0,,Z,11.0108811,2018-01-01
R_A2,22,29,27,27,OPEN,0,1.71520332,0.2413,141.489126,0.0,,Z,10.0217094,2018-01-01
R_A2,22,29,28,28,OPEN,0,0.01613633,0.2413,1.47075165,0.0,,Z,15.9334196,2018-01-01
R_A2,22,29,29,29,OPEN,0,1.33641572,0.2413,118.903316,0.0,,Z,14.1818859,2018-01-01
R_A3,28,41,1,1,OPEN,0,0.86531858,0.2413,85.0091327,0.0,,Z,23.3020339,2018-01-01
R_A3,28,41,2,2,OPEN,0,1.38010776,0.2413,135.682469,0.0,,Z,23.3929493,2018-01-01
R_A3,28,41,3,3,OPEN,0,1.88487009,0.2413,185.26004,0.0,,Z,23.3616488,2018-01-01
R_A3,28,41,4,4,OPEN,0,1.20639198,0.2413,115.233005,0.0,,Z,20.1404049,2018-01-01
R_A3,28,41,5,5,OPEN,0,0.0090607,0.2413,0.86620614,0.0,,Z,20.2286471,2018-01-01
R_A3,28,41,6,6,OPEN,0,0.64675626,0.2413,60.9206868,0.0,,Z,18.7607112,2018-01-01
R_A3,28,41,7,7,OPEN,0,1.40640541,0.2413,138.115271,0.0,,Z,23.2573565,2018-01-01
