Project name			: /private/akia/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.29 14:25:07
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       279566419.31         39526526.61         28339800.86         17823773.83
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  279566419.31         39526526.61         28339800.86         17823773.83
MidReek    1                       224360436.88         38952031.25         29263592.20         18404774.66
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  224360436.88         38952031.25         29263592.20         18404774.66
LowerReek  1                       129176804.56         26832468.19         21973935.71         13820085.12
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  129176804.56         26832468.19         21973935.71         13820085.12
Totals     1                       633103660.75        105311026.05         79577328.77         50048633.62
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  633103660.75        105311026.05         79577328.77         50048633.62
