PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID
PERM,LowerReek,Dorne,Background,16.247747,,100.0,0.10208962,1.9923066,40.430733,19.453007,geogrid,geogrid
PORO,LowerReek,Dorne,Background,0.11218551,,0.2717747,0.0,0.04943367,0.17535645,0.048279196,geogrid,geogrid
SW,LowerReek,Dorne,Background,0.9996141,,1.0,0.7530009,1.0,1.0,0.008324671,geogrid,geogrid
PERM,LowerReek,Dorne,Channel,3220.0015,,10000.0,17.110865,475.87817,9293.983,3002.358,geogrid,geogrid
PORO,LowerReek,Dorne,Channel,0.25371313,,0.45927808,0.07375519,0.1898318,0.31730795,0.050274123,geogrid,geogrid
SW,LowerReek,Dorne,Channel,0.9970802,,1.0,0.10676941,1.0,1.0,0.04503104,geogrid,geogrid
PERM,LowerReek,Dorne,Crevasse,161.28522,,1000.0,2.0429907,21.80984,388.6564,196.61475,geogrid,geogrid
PORO,LowerReek,Dorne,Crevasse,0.19833565,,0.3438706,0.02882889,0.13748029,0.2608927,0.047519177,geogrid,geogrid
SW,LowerReek,Dorne,Crevasse,0.99981165,,1.0,0.45401523,1.0,1.0,0.009373405,geogrid,geogrid
PERM,LowerReek,IronIslands,Background,13.51006,,100.0,0.14370778,1.3521823,32.970455,19.143944,geogrid,geogrid
PORO,LowerReek,IronIslands,Background,0.105291896,,0.29936528,0.0,0.03674956,0.18012898,0.054579392,geogrid,geogrid
SW,LowerReek,IronIslands,Background,0.72717696,,1.0,0.0,0.26874524,1.0,0.32390893,geogrid,geogrid
PERM,LowerReek,IronIslands,Channel,2869.9158,,10000.0,18.414013,412.98526,7473.5913,2757.2546,geogrid,geogrid
PORO,LowerReek,IronIslands,Channel,0.2488459,,0.41771913,0.04715419,0.18514179,0.31211948,0.04929953,geogrid,geogrid
SW,LowerReek,IronIslands,Channel,0.4925708,,1.0,0.021281268,0.042073924,1.0,0.45858294,geogrid,geogrid
PERM,LowerReek,IronIslands,Crevasse,186.20079,,1000.0,2.7760506,22.887928,467.88412,220.70142,geogrid,geogrid
PORO,LowerReek,IronIslands,Crevasse,0.20182593,,0.35867223,0.03091529,0.13794814,0.26579705,0.04997669,geogrid,geogrid
SW,LowerReek,IronIslands,Crevasse,0.51655596,,1.0,0.059311148,0.106478706,1.0,0.4062288,geogrid,geogrid
PERM,LowerReek,North,Background,12.846216,,100.0,0.0956387,1.5561321,30.444656,15.989063,geogrid,geogrid
PORO,LowerReek,North,Background,0.117397465,,0.30582884,0.0,0.054588217,0.17937465,0.047960043,geogrid,geogrid
SW,LowerReek,North,Background,0.99707425,,1.0,0.28816646,1.0,1.0,0.037006628,geogrid,geogrid
PERM,LowerReek,North,Channel,3310.268,,10000.0,14.63104,471.87668,9521.55,3029.4817,geogrid,geogrid
PORO,LowerReek,North,Channel,0.25171372,,0.4523912,0.05176024,0.1857059,0.3167216,0.0511883,geogrid,geogrid
SW,LowerReek,North,Channel,0.99036014,,1.0,0.027648931,1.0,1.0,0.09442001,geogrid,geogrid
PERM,LowerReek,North,Crevasse,179.42522,,1000.0,1.7144471,23.27447,438.2163,207.44997,geogrid,geogrid
PORO,LowerReek,North,Crevasse,0.20245112,,0.38487995,0.04104069,0.13881278,0.26331905,0.04912166,geogrid,geogrid
SW,LowerReek,North,Crevasse,0.9925991,,1.0,0.08960992,1.0,1.0,0.07742775,geogrid,geogrid
PERM,LowerReek,Reach,Background,17.111734,,100.0,0.16576312,2.0351048,42.45842,20.563463,geogrid,geogrid
PORO,LowerReek,Reach,Background,0.11410481,,0.33068433,0.0,0.04914836,0.17683576,0.049118124,geogrid,geogrid
SW,LowerReek,Reach,Background,0.924555,,1.0,0.0,0.6142553,1.0,0.18046929,geogrid,geogrid
PERM,LowerReek,Reach,Channel,2673.8398,,10000.0,28.101248,382.97357,7183.175,2726.2534,geogrid,geogrid
PORO,LowerReek,Reach,Channel,0.24162546,,0.45711255,0.070993826,0.17943662,0.30503315,0.048946165,geogrid,geogrid
SW,LowerReek,Reach,Channel,0.664116,,1.0,0.022429854,0.069318354,1.0,0.42760506,geogrid,geogrid
PERM,LowerReek,Reach,Crevasse,190.18797,,1000.0,2.460542,23.955336,477.58298,225.78407,geogrid,geogrid
PORO,LowerReek,Reach,Crevasse,0.20714813,,0.39818028,0.041483834,0.14183664,0.2710423,0.05074204,geogrid,geogrid
SW,LowerReek,Reach,Crevasse,0.73032093,,1.0,0.064010695,0.17903623,1.0,0.35775086,geogrid,geogrid
PERM,LowerReek,Stormlands,Background,16.559204,,100.0,0.7699954,3.132195,43.472153,22.728848,geogrid,geogrid
PORO,LowerReek,Stormlands,Background,0.106507264,,0.1848341,0.012315422,0.059153162,0.16845208,0.040608887,geogrid,geogrid
SW,LowerReek,Stormlands,Background,0.40787986,,0.754174,0.17850931,0.22597824,0.6036708,0.1536685,geogrid,geogrid
PERM,LowerReek,Stormlands,Channel,3148.0088,,10000.0,51.129284,551.95276,8165.4487,2845.4353,geogrid,geogrid
PORO,LowerReek,Stormlands,Channel,0.25623062,,0.42326182,0.099995315,0.19604208,0.31739295,0.047542848,geogrid,geogrid
SW,LowerReek,Stormlands,Channel,0.045194015,,0.16541469,0.020649053,0.02844083,0.06532603,0.016434941,geogrid,geogrid
PERM,LowerReek,Stormlands,Crevasse,149.69228,,1000.0,1.0800421,15.8516035,319.93365,198.85046,geogrid,geogrid
PORO,LowerReek,Stormlands,Crevasse,0.19739582,,0.36546254,0.01894489,0.128035,0.2629163,0.052004974,geogrid,geogrid
SW,LowerReek,Stormlands,Crevasse,0.1342499,,0.36168244,0.052817877,0.08517111,0.19384047,0.044585947,geogrid,geogrid
