CONIPOS,CONJPOS,CONKPOS,DEPTH,PRESSURE,SWAT,SGAS,CONIDX,Drawdown,DATE,WELL,WELLMODEL,CONBPRES
27,30,5,1610.6466064453125,303.56988525390625,0.029752733185887337,0.0,1,0,2000-02-01,OP_1,MULTISEG,303.56988525390625
27,30,6,1613.549560546875,303.7552795410156,0.032672218978405,0.0,2,0,2000-02-01,OP_1,MULTISEG,303.7552795410156
27,30,7,1616.7501220703125,303.9594421386719,0.03604741767048836,0.0,3,0,2000-02-01,OP_1,MULTISEG,303.9594421386719
27,30,8,1619.95068359375,304.16357421875,0.03845047950744629,0.0,4,0,2000-02-01,OP_1,MULTISEG,304.16357421875
27,30,9,1623.1512451171875,304.36773681640625,0.035562045872211456,0.0,5,0,2000-02-01,OP_1,MULTISEG,304.36773681640625
27,30,10,1626.35205078125,304.5717468261719,0.08944858610630035,0.0,6,0,2000-02-01,OP_1,MULTISEG,304.5717468261719
20,13,6,1653.53271484375,305.750244140625,0.10647881031036377,0.0,1,0,2000-02-01,OP_2,MULTISEG,305.750244140625
20,13,7,1656.34765625,305.9324645996094,0.05063105374574661,0.0,2,0,2000-02-01,OP_2,MULTISEG,305.9324645996094
20,13,8,1659.16259765625,306.1122741699219,0.061152439564466476,0.0,3,0,2000-02-01,OP_2,MULTISEG,306.1122741699219
20,13,9,1661.977783203125,306.2920837402344,0.07093736529350281,0.0,4,0,2000-02-01,OP_2,MULTISEG,306.2920837402344
20,13,10,1664.7928466796875,306.47198486328125,0.17655709385871887,0.0,5,0,2000-02-01,OP_2,MULTISEG,306.47198486328125
28,47,8,1655.184814453125,306.4134521484375,0.127329021692276,0.0,1,0,2000-02-01,OP_3,MULTISEG,306.4134521484375
28,47,9,1658.255859375,306.6095275878906,0.08903756737709045,0.0,2,0,2000-02-01,OP_3,MULTISEG,306.6095275878906
28,47,10,1661.3272705078125,306.80560302734375,0.08331471681594849,0.0,3,0,2000-02-01,OP_3,MULTISEG,306.80560302734375
28,47,11,1664.396240234375,307.00152587890625,0.05970622971653938,0.0,4,0,2000-02-01,OP_3,MULTISEG,307.00152587890625
28,47,12,1667.4630126953125,307.19732666015625,0.05220727249979973,0.0,5,0,2000-02-01,OP_3,MULTISEG,307.19732666015625
28,47,13,1670.5301513671875,307.3931884765625,0.055856991559267044,0.0,6,0,2000-02-01,OP_3,MULTISEG,307.3931884765625
28,47,14,1673.5972900390625,307.5890197753906,0.08103948086500168,0.0,7,0,2000-02-01,OP_3,MULTISEG,307.5890197753906
14,38,2,1702.9208984375,309.66351318359375,1.0,-6.041563360703606e-10,1,0,2000-02-01,WI_1,MULTISEG,309.66351318359375
14,38,3,1705.3350830078125,309.8923034667969,1.0,-6.4481298078789e-10,2,0,2000-02-01,WI_1,MULTISEG,309.8923034667969
14,38,4,1707.74951171875,310.1774597167969,1.0,-5.408742204116024e-11,3,0,2000-02-01,WI_1,MULTISEG,310.1774597167969
14,38,5,1710.1636962890625,310.4053039550781,1.0,-9.821181368163678e-11,4,0,2000-02-01,WI_1,MULTISEG,310.4053039550781
28,20,7,1691.623291015625,284.3117370605469,0.2597256600856781,0.0,1,0,2000-06-01,WI_2,MULTISEG,284.3117370605469
28,20,8,1694.76513671875,284.52783203125,0.2850669026374817,0.0,2,0,2000-06-01,WI_2,MULTISEG,284.52783203125
28,20,9,1697.90673828125,284.8280944824219,0.655044674873352,0.0,3,0,2000-06-01,WI_2,MULTISEG,284.8280944824219
28,20,10,1701.0484619140625,285.03704833984375,0.7116168737411499,0.0,4,0,2000-06-01,WI_2,MULTISEG,285.03704833984375
18,29,2,1652.3621826171875,275.5755615234375,0.05047542229294777,0.0,1,0,2001-01-01,OP_4,MULTISEG,275.5755615234375
18,29,3,1654.6136474609375,275.718017578125,0.06279520690441132,0.0,2,0,2001-01-01,OP_4,MULTISEG,275.718017578125
18,29,4,1656.8651123046875,275.86041259765625,0.08032648265361786,0.0,3,0,2001-01-01,OP_4,MULTISEG,275.86041259765625
18,29,5,1659.1165771484375,276.0024719238281,0.10804358124732971,0.0,4,0,2001-01-01,OP_4,MULTISEG,276.0024719238281
18,29,10,1670.9256591796875,276.7482604980469,0.19369563460350037,0.0,5,0,2001-01-01,OP_4,MULTISEG,276.7482604980469
18,29,11,1673.4715576171875,276.90789794921875,0.08250072598457336,0.0,6,0,2001-01-01,OP_4,MULTISEG,276.90789794921875
18,29,12,1676.189697265625,277.07965087890625,0.10211958736181259,0.0,7,0,2001-01-01,OP_4,MULTISEG,277.07965087890625
18,29,13,1678.9078369140625,277.2514953613281,0.11508923023939133,0.0,8,0,2001-01-01,OP_4,MULTISEG,277.2514953613281
18,29,14,1681.625732421875,277.423095703125,0.22029155492782593,0.0,9,0,2001-01-01,OP_4,MULTISEG,277.423095703125
24,37,1,1612.3013916015625,270.8524169921875,0.03513549268245697,0.0,1,0,2001-01-01,OP_5,MULTISEG,270.8524169921875
24,37,2,1615.529052734375,271.0563659667969,0.03173772618174553,0.0,2,0,2001-01-01,OP_5,MULTISEG,271.0563659667969
24,37,3,1618.756591796875,271.26043701171875,0.033000361174345016,0.0,3,0,2001-01-01,OP_5,MULTISEG,271.26043701171875
24,37,4,1621.9842529296875,271.46453857421875,0.042678073048591614,0.0,4,0,2001-01-01,OP_5,MULTISEG,271.46453857421875
24,37,5,1625.212158203125,271.66925048828125,0.046414878219366074,0.0,5,0,2001-01-01,OP_5,MULTISEG,271.66925048828125
25,37,11,1632.2330322265625,272.2076721191406,0.04140289127826691,0.0,6,0,2001-01-01,OP_5,MULTISEG,272.2076721191406
25,37,12,1635.3935546875,272.4075012207031,0.04671313986182213,0.0,7,0,2001-01-01,OP_5,MULTISEG,272.4075012207031
25,37,13,1638.553955078125,272.6070251464844,0.043011389672756195,0.0,8,0,2001-01-01,OP_5,MULTISEG,272.6070251464844
25,37,14,1641.7147216796875,272.8065185546875,0.053215064108371735,0.0,9,0,2001-01-01,OP_5,MULTISEG,272.8065185546875
16,10,6,1717.609619140625,274.4394226074219,1.0,-5.593429365513547e-13,1,0,2001-03-01,WI_3,MULTISEG,274.4394226074219
16,10,7,1719.86962890625,274.6546325683594,1.0,-3.299983983989785e-13,2,0,2001-03-01,WI_3,MULTISEG,274.6546325683594
16,10,8,1722.1298828125,274.8720703125,1.0,-4.12472980033593e-13,3,0,2001-03-01,WI_3,MULTISEG,274.8720703125
16,10,9,1724.3900146484375,275.08953857421875,1.0,-5.763111884417305e-13,4,0,2001-03-01,WI_3,MULTISEG,275.08953857421875
16,10,10,1726.64990234375,275.36346435546875,1.0,-2.560642941174668e-13,5,0,2001-03-01,WI_3,MULTISEG,275.36346435546875
