CONBPRES,CONIDX,CONIPOS,CONJPOS,CONKPOS,DATE,DEPTH,Drawdown,PRESSURE,SGAS,SWAT,WELL,WELLMODEL
303.736083984375,1,27,30,5,2000-02-01,1611.6839599609375,0,303.736083984375,0.0,0.029434842988848686,OP_1,MULTISEG
303.91253662109375,2,27,30,6,2000-02-01,1614.44775390625,0,303.91253662109375,0.0,0.034864120185375214,OP_1,MULTISEG
304.08380126953125,3,27,30,7,2000-02-01,1617.1322021484375,0,304.08380126953125,0.0,0.03266341611742973,OP_1,MULTISEG
304.25506591796875,4,27,30,8,2000-02-01,1619.8167724609375,0,304.25506591796875,0.0,0.02959345281124115,OP_1,MULTISEG
304.4263000488281,5,27,30,9,2000-02-01,1622.5010986328125,0,304.4263000488281,0.0,0.028941454365849495,OP_1,MULTISEG
304.59759521484375,6,27,30,10,2000-02-01,1625.185546875,0,304.59759521484375,0.0,0.027811454609036446,OP_1,MULTISEG
306.0724182128906,1,20,13,6,2000-02-01,1651.15576171875,0,306.0724182128906,0.0,0.12875106930732727,OP_2,MULTISEG
306.2527160644531,2,20,13,7,2000-02-01,1653.9951171875,0,306.2527160644531,0.0,0.04523589089512825,OP_2,MULTISEG
306.4338073730469,3,20,13,8,2000-02-01,1656.834716796875,0,306.4338073730469,0.0,0.05359019339084625,OP_2,MULTISEG
306.6148681640625,4,20,13,9,2000-02-01,1659.674560546875,0,306.6148681640625,0.0,0.06283596903085709,OP_2,MULTISEG
306.79498291015625,5,20,13,10,2000-02-01,1662.5140380859375,0,306.79498291015625,0.0,0.15830358862876892,OP_2,MULTISEG
306.5953674316406,1,28,47,9,2000-02-01,1657.4534912109375,0,306.5953674316406,0.0,0.11743813753128052,OP_3,MULTISEG
306.78143310546875,2,28,47,10,2000-02-01,1660.3685302734375,0,306.78143310546875,0.0,0.10866491496562958,OP_3,MULTISEG
306.9694519042969,3,28,47,11,2000-02-01,1663.3134765625,0,306.9694519042969,0.0,0.06329850852489471,OP_3,MULTISEG
307.15936279296875,4,28,47,12,2000-02-01,1666.2879638671875,0,307.15936279296875,0.0,0.07359995692968369,OP_3,MULTISEG
307.3492736816406,5,28,47,13,2000-02-01,1669.2623291015625,0,307.3492736816406,0.0,0.08553086966276169,OP_3,MULTISEG
307.5392150878906,6,28,47,14,2000-02-01,1672.237060546875,0,307.5392150878906,0.0,0.06410980224609375,OP_3,MULTISEG
309.4838562011719,1,14,38,2,2000-02-01,1701.51171875,0,309.4838562011719,0.0,0.9999918341636658,WI_1,MULTISEG
309.73876953125,2,14,38,3,2000-02-01,1704.265380859375,0,309.73876953125,0.0,0.9999929666519165,WI_1,MULTISEG
309.99041748046875,3,14,38,4,2000-02-01,1707.01904296875,0,309.99041748046875,0.0,0.9999984502792358,WI_1,MULTISEG
310.24237060546875,4,14,38,5,2000-02-01,1709.7724609375,0,310.24237060546875,0.0,0.9999984502792358,WI_1,MULTISEG
267.43084716796875,1,28,20,7,2000-06-01,1693.70068359375,0,267.43084716796875,0.0,0.24193856120109558,WI_2,MULTISEG
267.6854248046875,2,28,20,8,2000-06-01,1696.9678955078125,0,267.6854248046875,0.0,0.31196659803390503,WI_2,MULTISEG
268.0272521972656,3,28,20,9,2000-06-01,1700.235107421875,0,268.0272521972656,0.0,0.646202564239502,WI_2,MULTISEG
283.0276794433594,1,18,29,2,2001-01-01,1650.0450439453125,0,283.0276794433594,0.0,0.08617571741342545,OP_4,MULTISEG
283.17730712890625,2,18,29,3,2001-01-01,1652.4677734375,0,283.17730712890625,0.0,0.03906624764204025,OP_4,MULTISEG
283.3306884765625,3,18,29,4,2001-01-01,1654.890380859375,0,283.3306884765625,0.0,0.05113702267408371,OP_4,MULTISEG
283.48406982421875,4,18,29,5,2001-01-01,1657.3128662109375,0,283.48406982421875,0.0,0.05829516798257828,OP_4,MULTISEG
277.108154296875,5,18,29,6,2001-01-01,1659.8154296875,0,277.108154296875,0.0,0.11217567324638367,OP_4,MULTISEG
277.864990234375,6,18,29,11,2001-01-01,1672.567626953125,0,277.864990234375,0.0,0.4300939738750458,OP_4,MULTISEG
278.0060119628906,7,18,29,12,2001-01-01,1674.8319091796875,0,278.0060119628906,0.0,0.06729935854673386,OP_4,MULTISEG
278.1494140625,8,18,29,13,2001-01-01,1677.09619140625,0,278.1494140625,0.0,0.08400620520114899,OP_4,MULTISEG
278.2929382324219,9,18,29,14,2001-01-01,1679.360595703125,0,278.2929382324219,0.0,0.12509356439113617,OP_4,MULTISEG
274.2920837402344,1,24,37,1,2001-01-01,1611.76953125,0,274.2920837402344,0.0,0.0600840263068676,OP_5,MULTISEG
274.4665832519531,2,24,37,2,2001-01-01,1614.5250244140625,0,274.4665832519531,0.0,0.043698545545339584,OP_5,MULTISEG
274.6410217285156,3,24,37,3,2001-01-01,1617.2806396484375,0,274.6410217285156,0.0,0.03213973343372345,OP_5,MULTISEG
274.815673828125,4,24,37,4,2001-01-01,1620.0361328125,0,274.815673828125,0.0,0.03929563984274864,OP_5,MULTISEG
274.99041748046875,5,24,37,5,2001-01-01,1622.7916259765625,0,274.99041748046875,0.0,0.037804607301950455,OP_5,MULTISEG
275.6996765136719,6,24,37,6,2001-01-01,1626.0435791015625,0,275.6996765136719,0.0,0.16114689409732819,OP_5,MULTISEG
276.107666015625,7,25,37,11,2001-01-01,1633.3262939453125,0,276.107666015625,0.0,0.042571961879730225,OP_5,MULTISEG
276.3564147949219,8,25,37,12,2001-01-01,1637.2529296875,0,276.3564147949219,0.0,0.03984313830733299,OP_5,MULTISEG
276.60498046875,9,25,37,13,2001-01-01,1641.179443359375,0,276.60498046875,0.0,0.04859932139515877,OP_5,MULTISEG
276.853515625,10,25,37,14,2001-01-01,1645.1058349609375,0,276.853515625,0.0,0.05479789897799492,OP_5,MULTISEG
266.41668701171875,1,17,10,6,2001-03-01,1703.3289794921875,0,266.41668701171875,0.0,0.7193681597709656,WI_3,MULTISEG
268.1647644042969,2,16,10,6,2001-03-01,1716.229736328125,0,268.1647644042969,-1.9565936426602093e-08,0.9999998211860657,WI_3,MULTISEG
268.3724365234375,3,16,10,7,2001-03-01,1718.2308349609375,0,268.3724365234375,-1.337054800210069e-09,1.0,WI_3,MULTISEG
268.5802917480469,4,16,10,8,2001-03-01,1720.232177734375,0,268.5802917480469,-8.588493631556116e-12,1.0,WI_3,MULTISEG
268.7880859375,5,16,10,9,2001-03-01,1722.2333984375,0,268.7880859375,1.8956310162442563e-16,1.0,WI_3,MULTISEG
268.9958190917969,6,16,10,10,2001-03-01,1724.234130859375,0,268.9958190917969,1.0632682825897064e-16,1.0,WI_3,MULTISEG
