DATE,BLOCK,BPR
2000-01-01,1095,309.4649353027344
2000-01-01,"15,28,1",309.4649353027344
2000-01-01,"15,28,10",310.7535705566406
2000-01-01,"15,28,13",311.34814453125
2000-01-01,24135,310.7535705566406
2000-01-01,31815,311.34814453125
2000-02-01,1095,309.540283203125
2000-02-01,"15,28,1",309.540283203125
2000-02-01,"15,28,10",310.8431701660156
2000-02-01,"15,28,13",311.4361267089844
2000-02-01,24135,310.8431701660156
2000-02-01,31815,311.4361267089844
2000-03-01,1095,307.8560791015625
2000-03-01,"15,28,1",307.8560791015625
2000-03-01,"15,28,10",303.73736572265625
2000-03-01,"15,28,13",304.31103515625
2000-03-01,24135,303.73736572265625
2000-03-01,31815,304.31103515625
2000-04-01,1095,301.415771484375
2000-04-01,"15,28,1",301.415771484375
2000-04-01,"15,28,10",297.4539489746094
2000-04-01,"15,28,13",298.01556396484375
2000-04-01,24135,297.4539489746094
2000-04-01,31815,298.01556396484375
2000-05-01,1095,295.7722473144531
2000-05-01,"15,28,1",295.7722473144531
2000-05-01,"15,28,10",292.0462951660156
2000-05-01,"15,28,13",292.5987548828125
2000-05-01,24135,292.0462951660156
2000-05-01,31815,292.5987548828125
2000-06-01,1095,290.4016418457031
2000-06-01,"15,28,1",290.4016418457031
2000-06-01,"15,28,10",286.773681640625
2000-06-01,"15,28,13",287.3191223144531
2000-06-01,24135,286.773681640625
2000-06-01,31815,287.3191223144531
2000-07-01,1095,288.0855712890625
2000-07-01,"15,28,1",288.0855712890625
2000-07-01,"15,28,10",285.4254150390625
2000-07-01,"15,28,13",285.9960021972656
2000-07-01,24135,285.4254150390625
2000-07-01,31815,285.9960021972656
2000-08-01,1095,286.564208984375
2000-08-01,"15,28,1",286.564208984375
2000-08-01,"15,28,10",283.8536376953125
2000-08-01,"15,28,13",284.4201354980469
2000-08-01,24135,283.8536376953125
2000-08-01,31815,284.4201354980469
2000-09-01,1095,285.4458312988281
2000-09-01,"15,28,1",285.4458312988281
2000-09-01,"15,28,10",282.6208801269531
2000-09-01,"15,28,13",283.18585205078125
2000-09-01,24135,282.6208801269531
2000-09-01,31815,283.18585205078125
2000-10-01,1095,284.5899658203125
2000-10-01,"15,28,1",284.5899658203125
2000-10-01,"15,28,10",281.6685485839844
2000-10-01,"15,28,13",282.2326354980469
2000-10-01,24135,281.6685485839844
2000-10-01,31815,282.2326354980469
2000-11-01,1095,283.8743591308594
2000-11-01,"15,28,1",283.8743591308594
2000-11-01,"15,28,10",280.8682861328125
2000-11-01,"15,28,13",281.4318542480469
2000-11-01,24135,280.8682861328125
2000-11-01,31815,281.4318542480469
2000-12-01,1095,283.3190002441406
2000-12-01,"15,28,1",283.3190002441406
2000-12-01,"15,28,10",280.2250671386719
2000-12-01,"15,28,13",280.78839111328125
2000-12-01,24135,280.2250671386719
2000-12-01,31815,280.78839111328125
2001-01-01,1095,282.85626220703125
2001-01-01,"15,28,1",282.85626220703125
2001-01-01,"15,28,10",279.6686096191406
2001-01-01,"15,28,13",280.23193359375
2001-01-01,24135,279.6686096191406
2001-01-01,31815,280.23193359375
2001-02-01,1095,274.95513916015625
2001-02-01,"15,28,1",274.95513916015625
2001-02-01,"15,28,10",273.9808349609375
2001-02-01,"15,28,13",274.490966796875
2001-02-01,24135,273.9808349609375
2001-02-01,31815,274.490966796875
2001-03-01,1095,274.33056640625
2001-03-01,"15,28,1",274.33056640625
2001-03-01,"15,28,10",273.0740661621094
2001-03-01,"15,28,13",273.6067810058594
2001-03-01,24135,273.0740661621094
2001-03-01,31815,273.6067810058594
2001-04-01,1095,275.083251953125
2001-04-01,"15,28,1",275.083251953125
2001-04-01,"15,28,10",274.16864013671875
2001-04-01,"15,28,13",274.68438720703125
2001-04-01,24135,274.16864013671875
2001-04-01,31815,274.68438720703125
2001-05-01,1095,275.6985168457031
2001-05-01,"15,28,1",275.6985168457031
2001-05-01,"15,28,10",274.825927734375
2001-05-01,"15,28,13",275.34466552734375
2001-05-01,24135,274.825927734375
2001-05-01,31815,275.34466552734375
2001-06-01,1095,276.1644287109375
2001-06-01,"15,28,1",276.1644287109375
2001-06-01,"15,28,10",275.29351806640625
2001-06-01,"15,28,13",275.8162536621094
2001-06-01,24135,275.29351806640625
2001-06-01,31815,275.8162536621094
2001-07-01,1095,276.6654357910156
2001-07-01,"15,28,1",276.6654357910156
2001-07-01,"15,28,10",275.747802734375
2001-07-01,"15,28,13",276.2750244140625
2001-07-01,24135,275.747802734375
2001-07-01,31815,276.2750244140625
2001-08-01,1095,277.2760925292969
2001-08-01,"15,28,1",277.2760925292969
2001-08-01,"15,28,10",276.2804260253906
2001-08-01,"15,28,13",276.8124694824219
2001-08-01,24135,276.2804260253906
2001-08-01,31815,276.8124694824219
2001-09-01,1095,277.74334716796875
2001-09-01,"15,28,1",277.74334716796875
2001-09-01,"15,28,10",276.722412109375
2001-09-01,"15,28,13",277.2574157714844
2001-09-01,24135,276.722412109375
2001-09-01,31815,277.2574157714844
2001-10-01,1095,278.1421813964844
2001-10-01,"15,28,1",278.1421813964844
2001-10-01,"15,28,10",277.1225891113281
2001-10-01,"15,28,13",277.65997314453125
2001-10-01,24135,277.1225891113281
2001-10-01,31815,277.65997314453125
2001-11-01,1095,278.56732177734375
2001-11-01,"15,28,1",278.56732177734375
2001-11-01,"15,28,10",277.5547790527344
2001-11-01,"15,28,13",278.094970703125
2001-11-01,24135,277.5547790527344
2001-11-01,31815,278.094970703125
2001-12-01,1095,278.9500732421875
2001-12-01,"15,28,1",278.9500732421875
2001-12-01,"15,28,10",277.9475402832031
2001-12-01,"15,28,13",278.4901123046875
2001-12-01,24135,277.9475402832031
2001-12-01,31815,278.4901123046875
2002-01-01,1095,279.2955627441406
2002-01-01,"15,28,1",279.2955627441406
2002-01-01,"15,28,10",278.3087158203125
2002-01-01,"15,28,13",278.8533020019531
2002-01-01,24135,278.3087158203125
2002-01-01,31815,278.8533020019531
2002-02-01,1095,279.6040344238281
2002-02-01,"15,28,1",279.6040344238281
2002-02-01,"15,28,10",278.6365661621094
2002-02-01,"15,28,13",279.18292236328125
2002-02-01,24135,278.6365661621094
2002-02-01,31815,279.18292236328125
2002-03-01,1095,279.8618469238281
2002-03-01,"15,28,1",279.8618469238281
2002-03-01,"15,28,10",278.9134826660156
2002-03-01,"15,28,13",279.46142578125
2002-03-01,24135,278.9134826660156
2002-03-01,31815,279.46142578125
2002-04-01,1095,280.1192321777344
2002-04-01,"15,28,1",280.1192321777344
2002-04-01,"15,28,10",279.1944580078125
2002-04-01,"15,28,13",279.7439270019531
2002-04-01,24135,279.1944580078125
2002-04-01,31815,279.7439270019531
2002-05-01,1095,280.3740539550781
2002-05-01,"15,28,1",280.3740539550781
2002-05-01,"15,28,10",279.47216796875
2002-05-01,"15,28,13",280.0232849121094
2002-05-01,24135,279.47216796875
2002-05-01,31815,280.0232849121094
2002-06-01,1095,280.6217041015625
2002-06-01,"15,28,1",280.6217041015625
2002-06-01,"15,28,10",279.7425537109375
