Realization,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_LOWREEK,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_LOWREEK,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL
0,0.5486282734984038,-0.08173614763277492,-4.536874755018189,-4.6653230419113845,-1.6287216545075944,-0.17992747866875136,-0.5049768400824687,-7.525704590298601,-4.895685033057169,2.9048602582793986e-05,2.161110423737853e-05,0.023511392165281548,0.6608037841300737,0.31262460781319124,2.980543123306929e-08,1.271495908292492e-05,0.0,1702.946347670204
1,0.8836542774576808,0.6211407047901625,-4.725445301051583,-3.4683128142671986,-1.300747526481911,-0.20318260687231207,-0.9303812313565295,-7.235578900190431,-5.488256161959725,1.881718691849954e-05,0.00034016308827182945,0.05003253104449383,0.6263504490630968,0.1173866661676684,5.813278103318385e-08,3.2489560615233214e-06,0.0,1709.588724784947
2,0.9645900101137261,0.5224518546668273,-3.407226491270717,-3.9324651190176487,-3.4706081105234756,-1.2977948304842493,-0.38018330249982785,-7.191285087762359,-6.4142095625458495,0.00039153763094017556,0.00011682475555664097,0.00033837002968477943,0.050373852887541135,0.41669347270080187,6.437465465547886e-08,3.8529239550772286e-07,0.0,1705.0933205587512
3,0.9131346652633188,0.6202790772909372,-2.4102542305896812,-4.214406291541525,-2.536594510944318,-0.28396660370811255,-0.18383556032894302,-7.8016657189966505,-6.582552493112628,0.00388817469449513,6.103707431696626e-05,0.0029067353283461833,0.5200359846211444,0.6548840900411967,1.5788260410389765e-08,2.6148543719580835e-07,0.0,1703.991938811543
4,0.8518009995916405,0.5037209231598068,-4.5177215615911726,-4.058900571530622,-1.2225178908220196,-0.2969646244510647,-0.9488999848223532,-7.774052616201498,-7.410743015168407,3.0358369208408505e-05,8.731712515255782e-05,0.059907625907260544,0.5047024065305724,0.11248639929583235,1.6824702119354898e-08,3.883801139578787e-08,0.0,1706.5549932412516
5,0.9398315564313497,0.6298374281398174,-3.7484810361338528,-3.852371091816375,-0.8054058697406383,-0.2705514570562453,-0.6467505969771491,-6.63793883608175,-6.650405268188691,0.00017845099090980105,0.00014048466111661243,0.1565287547473351,0.5363503186097852,0.22555341296793405,2.3017659640828304e-07,2.2366330179304835e-07,0.0,1708.346492162502
6,0.8283866899415009,0.7083872945822152,-4.564865460280597,-4.270552032305646,-1.5121048902576237,-0.09709827657972271,-1.155386536691501,-6.678377452162002,-5.379724482466485,2.7235449020695282e-05,5.36349608181706e-05,0.030753539694119515,0.7996532808406372,0.06992193902056694,2.09711645447234e-07,4.171339303824475e-06,0.0,1707.7494732599778
7,0.22795528806269583,0.4445535023685012,-4.85671682222641,-4.270311385733486,-3.103435118614157,-0.8087849888516276,-1.6660606104682971,-7.71358217628879,-7.300388318845618,1.3908592327444825e-05,5.366468867940398e-05,0.0007880701563289031,0.15531557582741468,0.021574432937137934,1.9338279091470533e-08,5.0073930377012704e-08,0.0,1706.9553092353092
8,0.7064493173616815,-0.11517552600184233,-4.957196049155672,-0.8992712829476124,-1.4445163484006032,-0.017388394930929932,-0.1548865148897365,-4.896988868718622,-7.640164111495742,1.1035803293599416e-05,0.12610395775328723,0.03593218703379622,0.9607526810516804,0.7000248949961532,1.267684357107517e-05,2.290002141673176e-08,0.0,1711.7275630122624
9,0.48437870718242637,0.6406433768129522,-4.843249421333756,-3.7530392856166412,-0.42342551938040573,-0.10656451356651156,-0.736509755552123,-7.737785682781543,-7.85754482769068,1.4346652485907712e-05,0.00017658780748229687,0.37720242891338374,0.7824119707185619,0.1834383960908385,1.8290025763094528e-08,1.3882100120898733e-08,0.0,1709.0597566294125
