Realization,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_LOWREEK,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_LOWREEK,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL
0,0.7538904367514379,0.40156382165887816,-4.372275835760314,-4.609682500583339,-0.8696935958620482,-0.023820704791620365,-0.5955648150203423,-7.541599975569887,-6.149749505681661,4.243499586949831e-05,2.4565041344525306e-05,0.134991494085291,0.9466278889054515,0.2537670230467956,2.873426048312018e-08,7.083542343100459e-07,0.0,1702.660467331434
1,0.9528708328937723,0.7795898531069043,-4.463990367431746,-3.4902552270770157,-0.7380550620929572,-0.04926049682832849,-1.0683500864052045,-7.3696654118918135,-5.9853314019537525,3.435655680337259e-05,0.0003234035426106531,0.18278684548667762,0.8927698253740296,0.0854377718149212,4.2690828979571455e-08,1.0343525704555082e-06,0.0,1708.0741999069924
2,0.9823441564893893,0.8615675981683415,-3.895121127060526,-3.6981540172271026,-2.723047870358769,-0.32292656874158504,-0.29255892838187875,-7.624504546577809,-7.456077368790264,0.00012731479437035428,0.00020037612919072303,0.0018921350454777239,0.47541560323582704,0.5098484127667546,2.3740805686348506e-08,3.498828304713983e-08,0.0,1704.7936659426607
3,0.9493466806028099,0.6907206541036681,-1.3710993262179436,-4.20897258793902,-2.6057390941139347,-0.0736348858007374,-0.25924563410236734,-7.856125659730308,-6.03551204563985,0.04255010868982209,6.180554097013134e-05,0.0024789108359164766,0.844044052900057,0.550496251279246,1.3927537621717939e-08,9.21484329989075e-07,0.0,1702.0645176676421
4,0.8795774720499248,0.8803068214111636,-4.74622595209602,-4.025078889632966,-1.0248300478393235,-0.06280314802287229,-1.0941206818512015,-7.792515656253101,-7.513411156599252,1.793800116580313e-05,9.43889403114611e-05,0.09444303872743641,0.8653600702927965,0.08051546735430677,1.6124428979573e-08,3.0661178494389444e-08,0.0,1708.008494565323
5,0.9613649919960419,0.9283272523758013,-4.288608250273655,-4.012449862061661,-0.5117047843609536,-0.03633257094090648,-0.7086336840133631,-7.242219863255515,-7.0079898609848374,5.1450754721100025e-05,9.717401294575177e-05,0.30781885304852225,0.9197449862343635,0.1955988585167035,5.725061241766288e-08,9.817708631211784e-08,0.0,1710.0120522766715
6,0.9216765100601372,0.885068808459474,-4.2411169659096775,-3.9057950284145386,-0.9007881467607337,-0.019254684703995183,-1.0880989931066203,-7.133153556103291,-5.955947072123129,5.7396185970823136e-05,0.00012422384617353556,0.1256642817276362,0.9566329054691008,0.08163962607425562,7.359468383515768e-08,1.1067586574771781e-06,0.0,1705.8915952292255
7,0.4762453090627039,0.915136827264464,-4.833878818362335,-4.320298728233037,-2.397346494123478,-0.1454066029728085,-1.6967291761520933,-7.826190447786994,-7.085845919538031,1.4659568313409048e-05,4.783009811672334e-05,0.004005470207998267,0.715473243345724,0.020103460634706773,1.492139929550138e-08,8.206426430547214e-08,0.0,1704.543062606552
8,0.9075456019481052,0.23647666453361538,-4.899459950470688,-0.6316084726744705,-0.7890890815904661,-0.00728238697275433,-0.10140986143948127,-5.368867768425969,-7.6750042830221945,1.260491871880072e-05,0.23355626815624353,0.16252153607284683,0.983371489994596,0.791753767416936,4.276930879472491e-06,2.1134681966617828e-08,0.0,1711.252847036644
9,0.16505310988467858,0.9238803737347006,-4.788805023567663,-3.8849339759104096,-0.5842944149374829,-0.03560339179491417,-1.3107151829087902,-7.793564362816212,-7.846821861191719,1.626278709426507e-05,0.00013033649088551512,0.2604387396971023,0.9212905324568387,0.048897293028364375,1.6085539711394588e-08,1.422912317277616e-08,0.0,1709.0351291656007
