Realization,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_LOWREEK,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_LOWREEK,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL
0,-0.5643827623948154,-0.4198443818455677,-4.123661097838745,-4.428349998105376,-2.8188686379212573,-0.4601397731266419,-0.899153056895301,-7.165942687429213,-7.382882544651406,7.522096526527342e-05,3.729494765126424e-05,0.0015175093026748515,0.34662527478746835,0.12613829114499708,6.824287463224876e-08,4.141116565608784e-08,0.0,1708.6658069675564
1,-0.2425045651978095,0.4534813369451838,-4.6104103222064206,-3.261381531849913,-2.560662638369951,-0.6503248679175052,-1.3155542279848396,-7.4994185883520315,-7.217778882480002,2.452390797546783e-05,0.0005477955098834531,0.0027500295571759046,0.2237047120699806,0.04835548816698317,3.1665139937956045e-08,6.056491576334766e-08,0.0,1707.8173586245996
2,0.8640015374095749,0.02179967147345585,-3.416934207899734,-4.010405180578424,-4.136733725288165,-2.5314087368906164,-0.20619662109464346,-6.676883340798827,-7.495579933868278,0.00038288274256121594,9.763259201920601e-05,7.299048925116293e-05,0.0029416517906714324,0.6220186106954945,2.1043436278777175e-07,3.194626325236139e-08,0.0,1714.4988172642393
3,0.5010145093935918,0.5356431091309783,-2.123365961958947,-4.371695772035865,-3.62519902393893,-1.048244224883931,-0.2104269680825284,-7.476811067940663,-7.036371831084159,0.007527210096195609,4.249171187341707e-05,0.0002370287226258223,0.08948613999944384,0.6159891064922808,3.335714955257957e-08,9.196618452106331e-08,0.0,1708.8457381239957
4,0.7703327253672403,0.1337423787618759,-3.475524763354256,-4.401416109311899,-1.9513887440888833,-0.8334718303021607,-0.7969569319583069,-7.410968037925618,-7.828769157502619,0.00033456094073478957,3.9681117173675034e-05,0.011184363046531667,0.146733125951396,0.1596037414957366,3.881789331217377e-08,1.483306304109374e-08,0.0,1714.3710164438078
5,0.8878258275702284,0.5563171344742064,-4.489093071614958,-4.04719987407631,-1.7531373970476718,-1.4167535973363767,-0.3676646300917438,-5.906147932355296,-5.735638834024059,3.2427011709347847e-05,8.970158685045391e-05,0.017654791905085863,0.038304200557746526,0.4288795809812004,1.2412294395195658e-06,1.8380662721397129e-06,0.0,1720.568472243588
6,-0.45015965043879225,0.6276620499824603,-3.494963028701032,-4.194856349407794,-1.8618793408579852,-0.3009591519674378,-3.089897251892204,-6.678848323999017,-7.964164638764512,0.0003199167441822155,6.384746380628507e-05,0.013744237753012308,0.5000815684724889,0.0008130228434471247,2.0948439458597673e-07,1.0860138434074991e-08,0.0,1720.8714323143397
7,-0.35742814496089137,0.2848541877381652,-4.77962315614451,-3.5975292320063277,-3.023177734402344,-3.6759733570304722,-1.3798597957394314,-7.0180293018965925,-7.719245935846155,1.661027580920668e-05,0.00025262176667644945,0.0009480304037982898,0.00021087575133978983,0.041700398407287655,9.59335902833162e-08,1.9087720373473005e-08,0.0,1713.8788478917056
8,0.48884436270505827,-0.37545042726968836,-4.931668930694673,-0.7138166845830942,-1.6476388767566905,-0.2796292273119452,-0.07493972607452123,-3.564263519841699,-7.838190067389539,1.1703912581359906e-05,0.1932783971712123,0.022509255107040153,0.5252556984067582,0.8415119234822839,0.00027273224045135596,1.4514762453005222e-08,0.0,1719.1656286176224
9,-0.00376960608665311,0.4243751306097139,-4.922618792384937,-3.9007715555014837,-0.7657148179992637,-0.5989723489263297,-0.5033361066873139,-7.597712233270168,-7.879929783006881,1.1950366031104416e-05,0.0001256690825450287,0.17150831571633604,0.25178372307084884,0.3138079149703173,2.525153403557341e-08,1.3184698923299498e-08,0.0,1718.140770672098
10,-0.22815127595489437,0.9939470021107086,-4.641248434300068,-3.4854424997972475,-3.329762607615193,-0.6846013455385356,-0.9108161455820234,-6.567451094701229,-7.947965566271558,2.2842917207735272e-05,0.00032700733944889915,0.0004679908827668868,0.2067276912655267,0.12279589658297847,2.707378060841647e-07,1.1272868313609312e-08,0.0,1714.6023536750936
11,-0.4193419904787121,0.242087678273879,-4.9219284147351665,-3.284703934718624,-3.633803042355164,-2.5830257851892524,-0.21949912757350928,-7.613139754824731,-7.097645096706996,1.1969378076998474e-05,0.0005191538335386224,0.00023237904236542145,0.0026120062682118287,0.6032549197657358,2.4370264634524203e-08,7.986470710880182e-08,0.0,1710.5987900861487
12,-0.8750394472595627,0.6711917026121639,-4.534345519346985,-4.312686515699381,-2.311575311707168,-1.4620384765327656,-0.39285912593223815,-6.85205155759536,-7.007141605892926,2.921826883375357e-05,4.8675843296821477e-05,0.0048800546809361555,0.034511316251138575,0.4047071470983248,1.4058806140504604e-07,9.836903117775772e-08,0.0,1705.5555492027634
13,-0.9160017123724027,0.675489970426925,-4.443319405570753,-3.6127464885305716,-3.435903009373059,-0.4922961148729603,-2.6036205557828787,-7.5156031271786174,-7.993061951687877,3.6031354988605996e-05,0.0002439234261310155,0.000366519419986765,0.32188733194946034,0.002491032789606428,3.050681531021651e-08,1.0161037363165806e-08,0.0,1720.8745639318354
14,0.33005417909269186,-0.3389259657258219,-3.5575435790350234,-2.5594809611868032,-1.778575817161269,-2.584131245512766,-0.5138483740935182,-5.432692032289881,-7.705269661924512,0.00027698510860722683,0.002757522335304982,0.016650381276052825,0.0026053660790669574,0.30630326483738074,3.6923934144340007e-06,1.9711984004677504e-08,0.0,1718.3730052680305
15,0.7406220390887248,0.16029175248723138,-3.2080491349583298,-4.395140650927105,-1.297319719162969,-1.8166364738014702,-1.447391564212762,-7.7492354373263455,-7.924936375962845,0.0006193709970743949,4.02586631210881e-05,0.05042899124375241,0.015253289962283142,0.03569508625871633,1.781412775975657e-08,1.1886763554820624e-08,0.0,1709.9779485622519
16,0.8262586759086767,0.3975142776291434,-4.91739346060628,-4.185913013290545,-1.7076991130017727,-0.4951855452865287,-1.214481957257321,-7.204480628862229,-5.3691490826387795,1.2095018567337353e-05,6.517589245860281e-05,0.019602022664200545,0.31975287254467766,0.06102644095225989,6.244812038272529e-08,4.274161394931503e-06,0.0,1717.7283161257296
17,-0.5112315212005737,0.21306699764716974,-4.459223152724094,-3.8916852482589728,-1.2721336757143464,-2.490253371092474,-2.073984742912382,-6.7021354113478075,-7.454997674463724,3.47357633455472e-05,0.00012832602791970025,0.05343998459635888,0.0032340492469880603,0.008433643852609163,1.985475757137753e-07,3.507537521444971e-08,0.0,1721.068263646148
18,0.4501458399238165,-0.4695600699077772,-4.020337521214308,-3.857606610148024,-3.730230561118359,-1.280033790162625,-1.973234332420808,-6.465650245158839,-7.898655867339247,9.542506815067787e-05,0.00013880125402611064,0.0001861098841924286,0.05247666293382205,0.010635689930926676,3.4225496326396875e-07,1.2628277963338624e-08,0.0,1717.3562150031112
19,-0.1802339668870413,-0.3814152537441612,-3.8829762765581726,-4.388105331155901,-1.6576111967681353,-1.3647690431635673,-2.3788212732525627,-2.899420897448859,-3.3804371200646615,0.00013092534393340262,4.091614121618086e-05,0.021998283934173465,0.043174861873950005,0.004180023532450527,0.0012606052240684584,0.0004164500129592211,0.0,1718.6385821046847
20,-0.035214409456057694,0.5336897019937392,-4.57085508847317,-3.749222305705527,-1.2662991558332253,-0.03008261287657723,-0.9454243550187403,-6.1972410289111615,-6.454851664362613,2.6862406170561978e-05,0.00017814666407879752,0.054162767153051045,0.933076791081688,0.11339023228857975,6.349784276332306e-07,3.50871695620496e-07,0.0,1709.0757288195407
21,0.11008081592458763,0.9601336473594353,-4.978984405667966,-4.835228239104066,-2.2861245724247494,-0.052868098230738375,-1.7791624696271189,-7.945344778939294,-7.55808884093443,1.049580115539093e-05,1.4614089438105325e-05,0.005174583836186566,0.8853844735873609,0.01662790483845894,1.1341101076313706e-08,2.766375687172233e-08,0.0,1715.3019139368953
22,-0.16753649430558537,0.7145915080903054,-4.496391230016842,-3.6487750799503136,-2.4013105494646454,-0.0524634083061373,-1.5144240469906578,-5.2568617664586395,-7.968866952358802,3.1886640834468674e-05,0.00022450443257180665,0.003969076325931815,0.8862098885613457,0.03058975178600539,5.535262655407822e-06,1.0743184831765188e-08,0.0,1708.9437439454455
23,0.8155854484462473,0.04618376786671208,-4.389985451056319,-4.366396050132562,-1.7924454419163212,-0.08450723743749218,-0.6606695364022908,-7.1928826090708595,-7.017902326755686,4.073939253456862e-05,4.301341753941886e-05,0.016127036099073816,0.8231761187287995,0.21843914279571658,6.413829206297145e-08,9.596164259007474e-08,0.0,1710.3008860833872
24,-0.2138171459707563,-0.8260355756062989,-2.701594229647883,-2.8806900351089886,-2.287904836124177,-0.08854169714187186,-1.836768572076323,-7.361215800876351,-6.662530081688791,0.001987951434233939,0.0013161638702317705,0.005153415553580015,0.8155644800351571,0.014562348759223053,4.3529552164448915e-08,2.175053372320077e-07,0.0,1710.5443290654516
