Realization,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_LOWREEK,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_LOWREEK,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL
0,-0.7177625333023556,-0.23267843920366882,-1.79726399006711,-2.8173644090133467,-2.8179225004440247,-1.1497191783216851,-2.9003611215799774,-1.5089808772787736,-6.72100361021221,0.015949093715610402,0.0015227744837655495,0.0015208188946204244,0.0708403701353361,0.0012578790338370375,0.030975556868344058,1.901062476665883e-07,0.0,1696.4447508159344
1,-0.15422985766033004,0.12650583229748724,-3.197702507627406,-2.6174932975765013,-2.959559850672268,-1.4347967570409912,-3.1102316913213377,-2.0886582172968615,-6.367191067762093,0.0006343040617098451,0.0024127187675528285,0.0010975900195806557,0.0367454223039854,0.0007758331077885234,0.00815345695416429,4.2934749387164886e-07,0.0,1700.9959847340492
2,0.3604165282071312,0.33919801290268925,-0.7576199384457226,-2.4367517388604956,-4.750195570821014,-4.326069249168026,-2.2330442715074033,-1.1630992919046936,-3.3919880728113916,0.17473506326143773,0.003658038408418703,1.7774787982773723e-05,4.7198777582016114e-05,0.005847304743173071,0.06869113748454142,0.0004055196722309152,0.0,1696.8515773703625
3,0.3115646146201987,0.6107812521417544,-0.21448436851442737,-1.6404259321846517,-4.148912798256835,-2.6565050972105975,-1.0369071166709285,-4.077251599023484,-3.933401602262583,0.6102610212679226,0.02288621996932829,7.097202579864895e-05,0.0022054382515388853,0.09185290229047209,8.370442183473008e-05,0.00011657311396478909,0.0,1698.231349304021
4,0.7480979517779844,0.2966288749379249,-0.593519928550548,-1.210892536657061,-1.7698880372864634,-2.0622392487922308,-2.4769111443056526,-1.754309022190703,-7.490774624154784,0.2549647088991309,0.061532911305780286,0.01698681522356476,0.008664844060503198,0.00333494638051959,0.0176072275849144,3.2301699740519296e-08,0.0,1702.7892192662787
5,0.7131246747917768,0.905547807522481,-2.9384206793253225,-1.0673455458158871,-0.8683987617011126,-2.2100054403570093,-1.2208982418767638,-0.6811506085787226,-6.563123203830941,0.0011523365063461138,0.08563562154353044,0.1353945671889374,0.006165872778952118,0.06013146130438736,0.20837681297748964,2.7344928753493345e-07,0.0,1709.4112931841735
6,-0.6711778173100098,0.4698425007914975,-0.8420100780806512,-3.108668562682232,-2.8479955125794225,-1.6361506147140708,-4.627992355041746,-1.4288964588328363,-6.327787592648579,0.14387651904038845,0.0007786305460866987,0.0014190721844147029,0.023112630977411626,2.3550907405865257e-05,0.03724804996199374,4.7012398344539907e-07,0.0,1707.8861957404595
7,-0.3564559916894081,0.05074527550285479,-2.934062396753887,-0.9534159297885867,-3.3360091590826095,-4.786866565357236,-2.21042743238366,-3.929018152044521,-4.424318754287025,0.0011639587869734826,0.11132278692776669,0.00046130784567503395,1.6335537714057276e-05,0.006159884479430745,0.00011775567545916354,3.7642741532894506e-05,0.0,1705.6553829693805
8,0.2028469697599209,-0.22163928290040968,-3.595249286812014,-0.011146730267562757,-1.846652535295691,-1.5991489267397938,-0.3829803661252458,-0.4770064024315901,-5.341566733000709,0.0002539514595326042,0.9746602844053763,0.0142346720086044,0.025168137228333838,0.41401839161638027,0.3334214973794303,4.554421982635255e-06,0.0,1706.4158083720451
9,-0.2789940846243829,0.15524168813775385,-3.8007499439856174,-3.952622282141436,-2.008950300074486,-1.8169961604376972,-3.334295351877873,-2.024780285037278,-5.918160677931476,0.00015821587449130192,0.00011152640877652328,0.009796020829989578,0.015240662278836824,0.0004631318492250729,0.009445386092228999,1.2073670573077568e-06,0.0,1702.7238168864803
